INSTANCE_ID, RestartSAT_B95_Time, RestartSAT_B95_opt, RestartSAT_B95_solved, RestartSAT_B95_PAR, INSTANCE_ID, glueminisat_2.2.5_Time, glueminisat_2.2.5_opt, glueminisat_2.2.5_solved, glueminisat_2.2.5_PAR, INSTANCE_ID, SAT09referencesolver:precosat_236_Time, SAT09referencesolver:precosat_236_opt, SAT09referencesolver:precosat_236_solved, SAT09referencesolver:precosat_236_PAR, INSTANCE_ID, minisathack:cir_minisat_2011-05-13\(simp\)_Time, minisathack:cir_minisat_2011-05-13\(simp\)_opt, minisathack:cir_minisat_2011-05-13\(simp\)_solved, minisathack:cir_minisat_2011-05-13\(simp\)_PAR, INSTANCE_ID, minisathackreference:minisat_2.2.0_Time, minisathackreference:minisat_2.2.0_opt, minisathackreference:minisat_2.2.0_solved, minisathackreference:minisat_2.2.0_PAR, INSTANCE_ID, minisathack:EBMiniSAT_2011-03-02_Time, minisathack:EBMiniSAT_2011-03-02_opt, minisathack:EBMiniSAT_2011-03-02_solved, minisathack:EBMiniSAT_2011-03-02_PAR, INSTANCE_ID, minisathack:contrasat_2011-03-02_Time, minisathack:contrasat_2011-03-02_opt, minisathack:contrasat_2011-03-02_solved, minisathack:contrasat_2011-03-02_PAR, INSTANCE_ID, minisathack:LR_GL_SHR_2011-03-02_Time, minisathack:LR_GL_SHR_2011-03-02_opt, minisathack:LR_GL_SHR_2011-03-02_solved, minisathack:LR_GL_SHR_2011-03-02_PAR, INSTANCE_ID, minisathack:MiniSAT_2.2.0-agile-26_Time, minisathack:MiniSAT_2.2.0-agile-26_opt, minisathack:MiniSAT_2.2.0-agile-26_solved, minisathack:MiniSAT_2.2.0-agile-26_PAR, INSTANCE_ID, SAT09referencesolver:glucose_1.0_Time, SAT09referencesolver:glucose_1.0_opt, SAT09referencesolver:glucose_1.0_solved, SAT09referencesolver:glucose_1.0_PAR, INSTANCE_ID, glucose_2_Time, glucose_2_opt, glucose_2_solved, glucose_2_PAR, INSTANCE_ID, EBGlucose_1.0_Time, EBGlucose_1.0_opt, EBGlucose_1.0_solved, EBGlucose_1.0_PAR, INSTANCE_ID, Lingeling_587f\(fixed\)_Time, Lingeling_587f\(fixed\)_opt, Lingeling_587f\(fixed\)_solved, Lingeling_587f\(fixed\)_PAR, INSTANCE_ID, minisathack:minisat_psm_2011-04-01_Time, minisathack:minisat_psm_2011-04-01_opt, minisathack:minisat_psm_2011-04-01_solved, minisathack:minisat_psm_2011-04-01_PAR, INSTANCE_ID, ppfolio_par_Time, ppfolio_par_opt, ppfolio_par_solved, ppfolio_par_PAR, INSTANCE_ID, Lingeling_587_Time, Lingeling_587_opt, Lingeling_587_solved, Lingeling_587_PAR, INSTANCE_ID, CryptoMiniSat_Strange-Night2-st\(fixed\)_Time, CryptoMiniSat_Strange-Night2-st\(fixed\)_opt, CryptoMiniSat_Strange-Night2-st\(fixed\)_solved, CryptoMiniSat_Strange-Night2-st\(fixed\)_PAR, INSTANCE_ID, rcl_2011-04-01_Time, rcl_2011-04-01_opt, rcl_2011-04-01_solved, rcl_2011-04-01_PAR, INSTANCE_ID, MPhaseSAT64_2011-05-14\(fixed\)_Time, MPhaseSAT64_2011-05-14\(fixed\)_opt, MPhaseSAT64_2011-05-14\(fixed\)_solved, MPhaseSAT64_2011-05-14\(fixed\)_PAR, INSTANCE_ID, claspmt_2.0-R4095_Time, claspmt_2.0-R4095_opt, claspmt_2.0-R4095_solved, claspmt_2.0-R4095_PAR, INSTANCE_ID, SAT09referencesolver:ManySAT1.1_aimd1/2009-03-20_Time, SAT09referencesolver:ManySAT1.1_aimd1/2009-03-20_opt, SAT09referencesolver:ManySAT1.1_aimd1/2009-03-20_solved, SAT09referencesolver:ManySAT1.1_aimd1/2009-03-20_PAR, INSTANCE_ID, claspmt_2.0-R4095-patched\(fixed\)_Time, claspmt_2.0-R4095-patched\(fixed\)_opt, claspmt_2.0-R4095-patched\(fixed\)_solved, claspmt_2.0-R4095-patched\(fixed\)_PAR, INSTANCE_ID, Plingeling_587_Time, Plingeling_587_opt, Plingeling_587_solved, Plingeling_587_PAR, INSTANCE_ID, Plingeling_587f\(fixed\)_Time, Plingeling_587f\(fixed\)_opt, Plingeling_587f\(fixed\)_solved, Plingeling_587f\(fixed\)_PAR, INSTANCE_ID, CryptoMiniSat_Strange-Night-2-mt_Time, CryptoMiniSat_Strange-Night-2-mt_opt, CryptoMiniSat_Strange-Night-2-mt_solved, CryptoMiniSat_Strange-Night-2-mt_PAR, INSTANCE_ID, CryptoMiniSat_Strange-Night-2-mt\(fixed\)_Time, CryptoMiniSat_Strange-Night-2-mt\(fixed\)_opt, CryptoMiniSat_Strange-Night-2-mt\(fixed\)_solved, CryptoMiniSat_Strange-Night-2-mt\(fixed\)_PAR, INSTANCE_ID, borg-sat_11.03.02-seq-industrial\(fixed\)_Time, borg-sat_11.03.02-seq-industrial\(fixed\)_opt, borg-sat_11.03.02-seq-industrial\(fixed\)_solved, borg-sat_11.03.02-seq-industrial\(fixed\)_PAR, INSTANCE_ID, Coach-SAT-Portfolio_2011-03-18_Time, Coach-SAT-Portfolio_2011-03-18_opt, Coach-SAT-Portfolio_2011-03-18_solved, Coach-SAT-Portfolio_2011-03-18_PAR, INSTANCE_ID, QuteRSat_2011-05-12\(fixed\)_Time, QuteRSat_2011-05-12\(fixed\)_opt, QuteRSat_2011-05-12\(fixed\)_solved, QuteRSat_2011-05-12\(fixed\)_PAR, INSTANCE_ID, borg-sat_11.03.02-par-industrial\(fixed\)_Time, borg-sat_11.03.02-par-industrial\(fixed\)_opt, borg-sat_11.03.02-par-industrial\(fixed\)_solved, borg-sat_11.03.02-par-industrial\(fixed\)_PAR, INSTANCE_ID, borg-sat_11.03.02-industrial_Time, borg-sat_11.03.02-industrial_opt, borg-sat_11.03.02-industrial_solved, borg-sat_11.03.02-industrial_PAR
1, 41.3917, 1, 41.3941, 999, 1, 50.3433, 1, 50.3428, 999, 1, 45.4851, 1, 45.546, 999, 1, 49.6624, 1, 49.661, 999, 1, 52.789, 1, 52.8071, 999, 1, 43.1564, 1, 43.1568, 999, 1, 44.5022, 1, 44.5022, 999, 1, 42.2826, 1, 42.281, 999, 1, 52.93, 1, 52.9443, 999, 1, 168.253, 1, 168.264, 999, 1, 202.105, 1, 202.108, 999, 1, 44.8202, 1, 44.834, 999, 1, 43.0764, 1, 43.097, 999, 1, 16.3465, 1, 16.3552, 999, 1, 100.784, 1, 14.5854, 999, 1, 43.4554, 1, 43.4794, 999, 1, 71.1612, 1, 71.1664, 999, 1, 65.914, 1, 65.9204, 999, 1, 15.3187, 1, 15.322, 999, 1, 29.1876, 1, 24.0002, 999, 1, 23.0925, 1, 20.3645, 999, 1, 45.2861, 1, 28.8988, 999, 1, 24.1323, 1, 12.5401, 999, 1, 22.4836, 1, 11.5607, 999, 1, 220.751, 1, 29.7624, 999, 1, 203.783, 1, 27.6928, 999, 1, 223.102, 1, 223.282, 999, 1, 186.24, 1, 186.388, 999, 1, 232.207, 1, 232.214, 999, 1, 202.67, 1, 170.775, 999, 1, 206.245, 1, 176.33, 999
2, 39.9189, 1, 39.9191, 999, 2, 46.3909, 1, 46.391, 999, 2, 34.9737, 1, 35.0259, 999, 2, 43.3834, 1, 43.3853, 999, 2, 41.5287, 1, 41.528, 999, 2, 44.5352, 1, 44.5384, 999, 2, 45.722, 1, 45.7224, 999, 2, 39.9099, 1, 39.9099, 999, 2, 41.5117, 1, 41.5559, 999, 2, 204.17, 1, 204.176, 999, 2, 76.1184, 1, 76.1237, 999, 2, 25.5141, 1, 25.5155, 999, 2, 18.3222, 1, 18.3403, 999, 2, 17.5193, 1, 17.6857, 999, 2, 62.1176, 1, 10.1253, 999, 2, 18.3622, 1, 18.3855, 999, 2, 23.7544, 1, 23.7746, 999, 2, 19.469, 1, 19.4764, 999, 2, 16.5875, 1, 16.5876, 999, 2, 495.129, 0, 489.761, 999, 2, 25.7611, 1, 21.768, 999, 2, 36.4325, 1, 26.1256, 999, 2, 22.2626, 1, 11.6836, 999, 2, 23.0915, 1, 12.581, 999, 2, 221.847, 1, 29.7348, 999, 2, 221.777, 1, 29.8357, 999, 2, 177.755, 1, 178.007, 999, 2, 167.36, 1, 167.522, 999, 2, 47.7867, 1, 47.7871, 999, 2, 199.94, 1, 184.398, 999, 2, 194.896, 1, 170.558, 999
3, 5000.15, 0, 5000.02, 999, 3, 2176.51, 2, 2176.46, 999, 3, 5000.07, 0, 4999.96, 999, 3, 5000.36, 0, 5000.24, 999, 3, 5000.24, 0, 5000.13, 999, 3, 5000.29, 0, 5000.2, 999, 3, 5000.14, 0, 5000.16, 999, 3, 1144.59, 2, 1144.57, 999, 3, 5000.35, 0, 5000.15, 999, 3, 5000.06, 0, 4999.92, 999, 3, 2648.1, 2, 2648.06, 999, 3, 5000.04, 0, 4999.91, 999, 3, 2654.56, 2, 2654.51, 999, 3, 5000.01, 0, 4999.92, 999, 3, 16506.3, 0, 2372.62, 999, 3, 2650.06, 2, 2650.01, 999, 3, 2432.68, 2, 2432.61, 999, 3, 5000.01, 0, 4999.91, 999, 3, 3091.14, 2, 3091.09, 999, 3, 28966.4, 0, 5102.18, 999, 3, 2461.95, 0, 634.59, 999, 3, 33276.3, 0, 5102.38, 999, 3, 25557.9, 2, 3221.03, 999, 3, 24123.3, 2, 3044.23, 999, 3, 18155.6, 2, 2757.44, 999, 3, 17402.9, 2, 2612.38, 999, 3, 1941.81, 0, 1940.61, 999, 3, 5000.09, 0, 5000.13, 999, 3, 3632.55, 2, 3632.51, 999, 3, 4549.97, 0, 1074.84, 999, 3, 4513.4, 0, 1055.05, 999
4, 5000.15, 0, 5000.02, 999, 4, 1728.79, 2, 1728.75, 999, 4, 5000.05, 0, 4999.95, 999, 4, 5000.27, 0, 5042.51, 999, 4, 5000.23, 0, 5000.1, 999, 4, 5000.23, 0, 5000.06, 999, 4, 5000.12, 0, 5000.05, 999, 4, 935.02, 2, 935.022, 999, 4, 5000.31, 0, 5000.11, 999, 4, 4746.19, 2, 4746.05, 999, 4, 1774.78, 2, 1774.78, 999, 4, 5000.02, 0, 4999.91, 999, 4, 1816.28, 2, 1816.25, 999, 4, 5000.05, 0, 5000.23, 999, 4, 17237.1, 2, 2467.88, 999, 4, 1822.45, 2, 1822.37, 999, 4, 1691.58, 2, 1691.55, 999, 4, 5000.03, 0, 4999.92, 999, 4, 2741.88, 2, 2741.8, 999, 4, 23488.1, 2, 3496.99, 999, 4, 2530.24, 0, 642.605, 999, 4, 18435.3, 2, 2883.65, 999, 4, 19273.0, 2, 2424.05, 999, 4, 18349.7, 2, 2310.77, 999, 4, 13822.0, 2, 2016.24, 999, 4, 13957.3, 2, 2115.0, 999, 4, 2077.01, 0, 2075.16, 999, 4, 5000.01, 0, 5000.03, 999, 4, 1775.87, 2, 1775.83, 999, 4, 5143.23, 0, 975.656, 999, 4, 5636.46, 0, 1037.65, 999
5, 5000.14, 0, 4999.93, 999, 5, 933.356, 2, 933.344, 999, 5, 5000.12, 0, 4999.94, 999, 5, 3062.96, 2, 3062.9, 999, 5, 5000.2, 0, 5000.06, 999, 5, 5000.22, 0, 5000.05, 999, 5, 5000.11, 0, 4999.94, 999, 5, 326.479, 2, 326.565, 999, 5, 5000.24, 0, 5000.09, 999, 5, 1570.1, 2, 1570.07, 999, 5, 719.008, 2, 718.985, 999, 5, 2686.32, 2, 2686.27, 999, 5, 720.348, 2, 720.337, 999, 5, 5000.02, 0, 4999.83, 999, 5, 8228.9, 2, 1030.89, 999, 5, 811.835, 2, 811.797, 999, 5, 598.394, 2, 598.38, 999, 5, 5000.03, 0, 4999.91, 999, 5, 5000.07, 0, 4999.94, 999, 5, 7459.16, 2, 1154.01, 999, 5, 3128.06, 0, 817.773, 999, 5, 8859.66, 2, 1384.02, 999, 5, 6802.93, 2, 857.634, 999, 5, 7041.92, 2, 890.37, 999, 5, 4514.89, 2, 642.878, 999, 5, 4765.92, 2, 813.655, 999, 5, 2723.58, 2, 2720.48, 999, 5, 1243.54, 2, 1243.61, 999, 5, 724.46, 2, 724.519, 999, 5, 7783.9, 2, 1134.02, 999, 5, 7341.85, 2, 1178.55, 999
6, 5000.1, 0, 4999.94, 999, 6, 5000.05, 0, 4999.92, 999, 6, 17.0374, 1, 17.0372, 999, 6, 5000.06, 0, 5000.05, 999, 6, 5000.06, 0, 4999.95, 999, 6, 5000.05, 0, 4999.95, 999, 6, 5000.08, 0, 4999.94, 999, 6, 5000.12, 0, 5000.14, 999, 6, 5000.06, 0, 4999.95, 999, 6, 5000.02, 0, 4999.92, 999, 6, 5000.07, 0, 4999.91, 999, 6, 5000.0, 0, 4999.91, 999, 6, 1363.5, 1, 1363.46, 999, 6, 5000.03, 0, 4999.93, 999, 6, 40000.4, 0, 5003.92, 999, 6, 1506.52, 1, 1506.48, 999, 6, 5000.08, 0, 5000.03, 999, 6, 5000.04, 0, 4999.91, 999, 6, 5000.04, 0, 4999.93, 999, 6, 11015.9, 1, 1383.83, 999, 6, 20390.0, 0, 5100.03, 999, 6, 6949.39, 1, 875.239, 999, 6, 545.705, 1, 70.0478, 999, 6, 5346.67, 1, 670.811, 999, 6, 40000.9, 0, 5005.83, 999, 6, 40000.8, 0, 5012.36, 999, 6, 5000.09, 0, 4993.85, 999, 6, 97.23, 1, 97.3272, 999, 6, 5000.11, 0, 5000.05, 999, 6, 952.118, 1, 147.132, 999, 6, 578.703, 1, 99.9639, 999
7, 5000.07, 0, 4999.92, 999, 7, 5000.03, 0, 4999.91, 999, 7, 5000.06, 0, 4999.91, 999, 7, 5000.12, 0, 5000.02, 999, 7, 5000.07, 0, 4999.92, 999, 7, 5000.09, 0, 4999.92, 999, 7, 5000.06, 0, 4999.93, 999, 7, 5000.09, 0, 5000.02, 999, 7, 5000.06, 0, 4999.91, 999, 7, 5000.07, 0, 4999.91, 999, 7, 4269.69, 2, 4269.57, 999, 7, 5000.01, 0, 4999.91, 999, 7, 5000.05, 0, 4999.92, 999, 7, 5000.02, 0, 4999.93, 999, 7, 1329.95, 2, 166.367, 999, 7, 5000.03, 0, 4999.92, 999, 7, 4573.78, 2, 4573.76, 999, 7, 5000.03, 0, 5000.01, 999, 7, 965.272, 2, 965.289, 999, 7, 476.19, 0, 59.6442, 999, 7, 20399.7, 0, 5100.02, 999, 7, 518.252, 2, 64.9465, 999, 7, 40000.4, 0, 5003.49, 999, 7, 40000.9, 0, 5004.9, 999, 7, 20093.8, 2, 2513.63, 999, 7, 20514.2, 2, 2569.56, 999, 7, 5000.03, 0, 4994.16, 999, 7, 5000.02, 0, 5000.13, 999, 7, 4021.42, 2, 4021.33, 999, 7, 39819.9, 0, 5000.43, 999, 7, 40000.6, 0, 5016.85, 999
8, 2.48062, 1, 2.48153, 999, 8, 2.55461, 1, 2.55592, 999, 8, 1.46378, 1, 1.46351, 999, 8, 1.80272, 1, 1.80351, 999, 8, 1.40479, 1, 1.40948, 999, 8, 1.45378, 1, 1.45749, 999, 8, 8.51171, 1, 8.51256, 999, 8, 1.66874, 1, 1.66823, 999, 8, 1.40579, 1, 1.40727, 999, 8, 2583.51, 1, 2583.46, 999, 8, 1122.56, 1, 1122.54, 999, 8, 1.81772, 1, 1.82115, 999, 8, 4.69729, 1, 4.69734, 999, 8, 1.72474, 1, 1.72586, 999, 8, 4.80027, 1, 0.733762, 999, 8, 4.89825, 1, 4.8982, 999, 8, 5000.06, 0, 4999.94, 999, 8, 154.708, 1, 154.732, 999, 8, 11.2773, 1, 11.2783, 999, 8, 3.54846, 1, 2.05652, 999, 8, 3.85641, 1, 2.35933, 999, 8, 2.95255, 1, 1.93765, 999, 8, 37.8762, 1, 5.37374, 999, 8, 38.0112, 1, 5.35625, 999, 8, 40000.3, 0, 5003.98, 999, 8, 40001.1, 0, 5011.18, 999, 8, 13.8429, 1, 14.1318, 999, 8, 41.65, 1, 41.7774, 999, 8, 5000.08, 0, 4999.95, 999, 8, 18.9851, 1, 14.1153, 999, 8, 16.7195, 1, 13.1571, 999
9, 11.5652, 2, 11.5785, 999, 9, 3.68644, 2, 3.68709, 999, 9, 14.5968, 2, 14.6095, 999, 9, 10.2514, 2, 10.2524, 999, 9, 25.5701, 2, 25.5692, 999, 9, 8.73467, 2, 8.7352, 999, 9, 79.3859, 2, 79.3866, 999, 9, 17.4383, 2, 17.438, 999, 9, 26.079, 2, 26.0789, 999, 9, 5.43317, 2, 5.43494, 999, 9, 8.03378, 2, 8.03762, 999, 9, 10.2524, 2, 10.2539, 999, 9, 3.99439, 2, 3.9944, 999, 9, 10.3964, 2, 10.3987, 999, 9, 59.449, 2, 7.47046, 999, 9, 3.99439, 2, 3.99463, 999, 9, 15.7146, 2, 15.7149, 999, 9, 10.6964, 2, 10.6972, 999, 9, 33.5869, 2, 33.5861, 999, 9, 11.4733, 2, 1.66604, 999, 9, 22.4176, 2, 6.00325, 999, 9, 23.1135, 2, 3.12302, 999, 9, 27.2359, 2, 3.54419, 999, 9, 28.7886, 2, 3.80588, 999, 9, 80.9107, 2, 12.5628, 999, 9, 90.7882, 2, 14.4306, 999, 9, 10.1425, 2, 10.4309, 999, 9, 27.15, 2, 27.2035, 999, 9, 5.43617, 2, 5.44607, 999, 9, 63.1744, 2, 11.0733, 999, 9, 54.5397, 2, 10.5214, 999
10, 30.3034, 2, 30.3141, 999, 10, 15.2387, 2, 15.2379, 999, 10, 33.5349, 2, 33.5438, 999, 10, 38.2642, 2, 38.2654, 999, 10, 36.5744, 2, 36.5737, 999, 10, 48.0727, 2, 48.0778, 999, 10, 35.1317, 2, 35.1314, 999, 10, 62.6015, 2, 62.621, 999, 10, 28.7526, 2, 28.7526, 999, 10, 29.0056, 2, 29.005, 999, 10, 20.3859, 2, 20.3889, 999, 10, 31.7462, 2, 31.7509, 999, 10, 13.467, 2, 13.4705, 999, 10, 24.7882, 2, 24.7921, 999, 10, 166.706, 2, 20.8872, 999, 10, 13.7119, 2, 13.719, 999, 10, 22.3466, 2, 22.346, 999, 10, 49.7864, 2, 49.7892, 999, 10, 33.7379, 2, 33.7383, 999, 10, 136.659, 2, 17.3452, 999, 10, 51.5982, 2, 13.2489, 999, 10, 133.882, 2, 17.0033, 999, 10, 88.3066, 2, 11.209, 999, 10, 89.2084, 2, 11.3015, 999, 10, 140.8, 2, 17.8463, 999, 10, 145.088, 2, 18.5752, 999, 10, 34.6407, 2, 34.886, 999, 10, 56.92, 2, 57.0052, 999, 10, 50.8173, 2, 50.833, 999, 10, 166.696, 2, 23.5639, 999, 10, 165.239, 2, 23.6338, 999
