INSTANCE_ID, EagleUP_1.565.350_Time, EagleUP_1.565.350_opt, EagleUP_1.565.350_solved, EagleUP_1.565.350_PAR, INSTANCE_ID, SAT09referencesolver:TNM_2009-03-22_Time, SAT09referencesolver:TNM_2009-03-22_opt, SAT09referencesolver:TNM_2009-03-22_solved, SAT09referencesolver:TNM_2009-03-22_PAR, INSTANCE_ID, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_Time, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_opt, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_solved, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_PAR, INSTANCE_ID, borg-sat_11.03.02-seq-random\(fixed\)_Time, borg-sat_11.03.02-seq-random\(fixed\)_opt, borg-sat_11.03.02-seq-random\(fixed\)_solved, borg-sat_11.03.02-seq-random\(fixed\)_PAR, INSTANCE_ID, adaptg2wsat2011_2011-03-02_Time, adaptg2wsat2011_2011-03-02_opt, adaptg2wsat2011_2011-03-02_solved, adaptg2wsat2011_2011-03-02_PAR, INSTANCE_ID, sattime2011_2011-03-02_Time, sattime2011_2011-03-02_opt, sattime2011_2011-03-02_solved, sattime2011_2011-03-02_PAR, INSTANCE_ID, ppfolio_seq_Time, ppfolio_seq_opt, ppfolio_seq_solved, ppfolio_seq_PAR, INSTANCE_ID, csls_pnorm-8cores_Time, csls_pnorm-8cores_opt, csls_pnorm-8cores_solved, csls_pnorm-8cores_PAR, INSTANCE_ID, Coach-SAT-Portfolio_2011-03-18_Time, Coach-SAT-Portfolio_2011-03-18_opt, Coach-SAT-Portfolio_2011-03-18_solved, Coach-SAT-Portfolio_2011-03-18_PAR, INSTANCE_ID, borg-sat_11.03.02-par-random\(fixed\)_Time, borg-sat_11.03.02-par-random\(fixed\)_opt, borg-sat_11.03.02-par-random\(fixed\)_solved, borg-sat_11.03.02-par-random\(fixed\)_PAR, INSTANCE_ID, ppfolio_par_Time, ppfolio_par_opt, ppfolio_par_solved, ppfolio_par_PAR, INSTANCE_ID, SAT09referencesolver:SATzilla2009_R_2009-03-22_Time, SAT09referencesolver:SATzilla2009_R_2009-03-22_opt, SAT09referencesolver:SATzilla2009_R_2009-03-22_solved, SAT09referencesolver:SATzilla2009_R_2009-03-22_PAR, INSTANCE_ID, MPhaseSAT_M_2011-02-16_Time, MPhaseSAT_M_2011-02-16_opt, MPhaseSAT_M_2011-02-16_solved, MPhaseSAT_M_2011-02-16_PAR, INSTANCE_ID, march_rw_2011-03-02_Time, march_rw_2011-03-02_opt, march_rw_2011-03-02_solved, march_rw_2011-03-02_PAR, INSTANCE_ID, SAT09referencesolver:march_hi_hi_Time, SAT09referencesolver:march_hi_hi_opt, SAT09referencesolver:march_hi_hi_solved, SAT09referencesolver:march_hi_hi_PAR, INSTANCE_ID, SAT09referencesolver:gnovelty+2_2009-03-22_Time, SAT09referencesolver:gnovelty+2_2009-03-22_opt, SAT09referencesolver:gnovelty+2_2009-03-22_solved, SAT09referencesolver:gnovelty+2_2009-03-22_PAR, INSTANCE_ID, borg-sat_11.03.02-random_Time, borg-sat_11.03.02-random_opt, borg-sat_11.03.02-random_solved, borg-sat_11.03.02-random_PAR
1, 5000.05, 0, 4999.91, 999, 1, 5000.02, 0, 4999.91, 999, 1, 5000.06, 0, 4999.91, 999, 1, 3548.28, 0, 3533.25, 999, 1, 5000.08, 0, 4999.92, 999, 1, 5000.04, 0, 4999.92, 999, 1, 5000.09, 0, 5000.01, 999, 1, 40000.3, 0, 5007.52, 999, 1, 4984.96, 0, 5000.02, 999, 1, 9229.96, 0, 1311.32, 999, 1, 39972.5, 0, 5000.02, 999, 1, 4998.41, 0, 4998.24, 999, 1, 5000.04, 0, 4999.91, 999, 1, 5000.12, 0, 4999.94, 999, 1, 5000.13, 0, 5000.03, 999, 1, 5000.05, 0, 4999.91, 999, 1, 10231.8, 0, 1287.11, 999
2, 1.26981, 1, 1.27049, 999, 2, 39.7899, 1, 39.7911, 999, 2, 8.08777, 1, 8.09069, 999, 2, 2.6016, 1, 4.2682, 999, 2, 54.2018, 1, 54.2005, 999, 2, 315.205, 1, 315.202, 999, 2, 42.5445, 1, 42.5439, 999, 2, 25.3022, 1, 3.18357, 999, 2, 290.26, 1, 290.601, 999, 2, 30.2194, 1, 5.04478, 999, 2, 180.052, 1, 22.5462, 999, 2, 90.2563, 1, 90.2619, 999, 2, 58.3231, 1, 58.4519, 999, 2, 5000.11, 0, 5000.03, 999, 2, 5000.11, 0, 4999.92, 999, 2, 14.8337, 1, 14.8347, 999, 2, 124.017, 1, 19.1875, 999
3, 29.2536, 1, 29.2529, 999, 3, 612.611, 1, 612.607, 999, 3, 174.105, 1, 174.105, 999, 3, 293.781, 1, 293.027, 999, 3, 5000.1, 0, 5000.02, 999, 3, 89.3784, 1, 89.3817, 999, 3, 2900.91, 1, 2900.8, 999, 3, 2206.84, 1, 276.406, 999, 3, 511.85, 1, 514.811, 999, 3, 184.701, 1, 24.8821, 999, 3, 21680.2, 1, 2712.65, 999, 3, 956.318, 1, 956.298, 999, 3, 5000.02, 0, 4999.91, 999, 3, 5000.11, 0, 4999.94, 999, 3, 5000.1, 0, 4999.94, 999, 3, 218.56, 1, 218.557, 999, 3, 4101.34, 1, 516.029, 999
4, 5000.03, 0, 4999.81, 999, 4, 5000.04, 0, 4999.91, 999, 4, 5000.03, 0, 4999.91, 999, 4, 3561.93, 0, 3550.34, 999, 4, 5000.12, 0, 5000.22, 999, 4, 5000.08, 0, 4999.92, 999, 4, 5000.0, 0, 4999.91, 999, 4, 40000.6, 0, 5009.73, 999, 4, 5000.07, 0, 5000.02, 999, 4, 9488.9, 0, 1193.6, 999, 4, 39971.5, 0, 5000.02, 999, 4, 4998.28, 0, 4998.11, 999, 4, 4999.96, 0, 5000.01, 999, 4, 5000.07, 0, 4999.94, 999, 4, 5000.03, 0, 5000.03, 999, 4, 5000.04, 0, 4999.91, 999, 4, 9991.3, 0, 1436.71, 999
5, 39.518, 1, 39.5172, 999, 5, 1759.93, 1, 1759.9, 999, 5, 23.4724, 1, 23.4739, 999, 5, 23.9284, 1, 24.1141, 999, 5, 392.742, 1, 392.739, 999, 5, 315.348, 1, 315.356, 999, 5, 341.318, 1, 341.359, 999, 5, 219.828, 1, 27.5613, 999, 5, 1589.6, 1, 1599.83, 999, 5, 300.514, 1, 37.2508, 999, 5, 1891.36, 1, 236.682, 999, 5, 294.583, 1, 294.58, 999, 5, 5000.04, 0, 4999.91, 999, 5, 5000.04, 0, 4999.92, 999, 5, 5000.04, 0, 4999.91, 999, 5, 1551.13, 1, 1551.08, 999, 5, 545.809, 1, 77.2666, 999
6, 39.185, 1, 39.1858, 999, 6, 478.056, 1, 478.049, 999, 6, 53.3679, 1, 53.3666, 999, 6, 61.5016, 1, 61.4263, 999, 6, 530.183, 1, 530.236, 999, 6, 420.472, 1, 420.462, 999, 6, 320.75, 1, 320.743, 999, 6, 300.178, 1, 37.5912, 999, 6, 627.62, 1, 627.941, 999, 6, 578.971, 1, 85.6052, 999, 6, 1214.9, 1, 152.04, 999, 6, 861.698, 1, 861.685, 999, 6, 5000.05, 0, 5000.01, 999, 6, 5000.07, 0, 4999.92, 999, 6, 5000.06, 0, 4999.91, 999, 6, 4274.78, 1, 4274.63, 999, 6, 464.418, 1, 60.9932, 999
7, 73.6648, 1, 73.6655, 999, 7, 948.226, 1, 948.204, 999, 7, 30.5464, 1, 30.5504, 999, 7, 330.101, 1, 329.589, 999, 7, 363.954, 1, 363.944, 999, 7, 286.209, 1, 286.202, 999, 7, 2091.03, 1, 2090.98, 999, 7, 544.99, 1, 68.2826, 999, 7, 3956.78, 1, 3956.82, 999, 7, 792.919, 1, 105.163, 999, 7, 5125.8, 1, 641.312, 999, 7, 4998.5, 0, 4998.33, 999, 7, 5000.11, 0, 4999.92, 999, 7, 5000.04, 0, 4999.92, 999, 7, 5000.08, 0, 4999.91, 999, 7, 5000.04, 0, 4999.91, 999, 7, 635.776, 1, 85.2509, 999
8, 4.89226, 1, 4.89202, 999, 8, 116.957, 1, 116.958, 999, 8, 31.4842, 1, 31.4839, 999, 8, 431.632, 1, 430.454, 999, 8, 366.108, 1, 366.101, 999, 8, 679.531, 1, 679.511, 999, 8, 1048.01, 1, 1048.01, 999, 8, 296.453, 1, 37.1506, 999, 8, 965.42, 1, 965.566, 999, 8, 677.723, 1, 87.8861, 999, 8, 13781.2, 1, 1723.99, 999, 8, 1028.53, 1, 1028.52, 999, 8, 1722.55, 1, 1722.51, 999, 8, 5000.03, 0, 4999.92, 999, 8, 5000.05, 0, 4999.91, 999, 8, 875.359, 1, 875.338, 999, 8, 544.068, 1, 80.8236, 999
9, 222.412, 1, 222.405, 999, 9, 5000.07, 0, 5000.01, 999, 9, 624.387, 1, 624.375, 999, 9, 5000.07, 0, 4982.11, 999, 9, 5000.09, 0, 4999.92, 999, 9, 5000.06, 0, 4999.92, 999, 9, 4315.55, 1, 4315.44, 999, 9, 15323.3, 1, 1919.79, 999, 9, 5000.07, 0, 5000.02, 999, 9, 3526.7, 1, 447.834, 999, 9, 39970.1, 0, 5000.02, 999, 9, 4998.73, 0, 4998.61, 999, 9, 5000.1, 0, 4999.91, 999, 9, 5000.04, 0, 4999.92, 999, 9, 5000.04, 0, 4999.81, 999, 9, 5000.06, 0, 4999.91, 999, 9, 10911.4, 0, 1375.11, 999
10, 5000.06, 0, 4999.91, 999, 10, 2262.48, 1, 2262.42, 999, 10, 208.214, 1, 208.223, 999, 10, 5000.09, 0, 4984.02, 999, 10, 5000.1, 0, 5000.02, 999, 10, 361.076, 1, 361.069, 999, 10, 5000.02, 0, 4999.91, 999, 10, 1215.74, 1, 152.303, 999, 10, 5000.08, 0, 5000.02, 999, 10, 1429.74, 1, 189.084, 999, 10, 9750.22, 1, 1219.92, 999, 10, 4999.13, 0, 4998.95, 999, 10, 5000.08, 0, 4999.92, 999, 10, 5000.07, 0, 4999.93, 999, 10, 5000.09, 0, 4999.91, 999, 10, 5000.06, 0, 4999.91, 999, 10, 8452.82, 0, 1070.4, 999
