INSTANCE_ID, MPhaseSAT_2011-02-15_Time, MPhaseSAT_2011-02-15_opt, MPhaseSAT_2011-02-15_solved, MPhaseSAT_2011-02-15_PAR, INSTANCE_ID, Sol_2011-04-04_Time, Sol_2011-04-04_opt, Sol_2011-04-04_solved, Sol_2011-04-04_PAR, INSTANCE_ID, QuteRSat_2011-05-12\(fixed\)_Time, QuteRSat_2011-05-12\(fixed\)_opt, QuteRSat_2011-05-12\(fixed\)_solved, QuteRSat_2011-05-12\(fixed\)_PAR, INSTANCE_ID, CryptoMiniSat_Strange-Night2-st\(fixed\)_Time, CryptoMiniSat_Strange-Night2-st\(fixed\)_opt, CryptoMiniSat_Strange-Night2-st\(fixed\)_solved, CryptoMiniSat_Strange-Night2-st\(fixed\)_PAR, INSTANCE_ID, PicoSAT_941_Time, PicoSAT_941_opt, PicoSAT_941_solved, PicoSAT_941_PAR, INSTANCE_ID, glucose_2_Time, glucose_2_opt, glucose_2_solved, glucose_2_PAR, INSTANCE_ID, clasp_2.0-R4092-crafted_Time, clasp_2.0-R4092-crafted_opt, clasp_2.0-R4092-crafted_solved, clasp_2.0-R4092-crafted_PAR, INSTANCE_ID, SAT07referencesolver:minisat_SAT2007_Time, SAT07referencesolver:minisat_SAT2007_opt, SAT07referencesolver:minisat_SAT2007_solved, SAT07referencesolver:minisat_SAT2007_PAR, INSTANCE_ID, jMiniSat_2011_Time, jMiniSat_2011_opt, jMiniSat_2011_solved, jMiniSat_2011_PAR, INSTANCE_ID, RestartSAT_B95_Time, RestartSAT_B95_opt, RestartSAT_B95_solved, RestartSAT_B95_PAR, INSTANCE_ID, SAT09referencesolver:clasp_1.2.0-SAT09-32_Time, SAT09referencesolver:clasp_1.2.0-SAT09-32_opt, SAT09referencesolver:clasp_1.2.0-SAT09-32_solved, SAT09referencesolver:clasp_1.2.0-SAT09-32_PAR, INSTANCE_ID, sathys_2011-04-01_Time, sathys_2011-04-01_opt, sathys_2011-04-01_solved, sathys_2011-04-01_PAR, INSTANCE_ID, SApperloT2010_2011-05-15\(fixed\)_Time, SApperloT2010_2011-05-15\(fixed\)_opt, SApperloT2010_2011-05-15\(fixed\)_solved, SApperloT2010_2011-05-15\(fixed\)_PAR, INSTANCE_ID, sattime+_2011-03-02_Time, sattime+_2011-03-02_opt, sattime+_2011-03-02_solved, sattime+_2011-03-02_PAR, INSTANCE_ID, sattime_2011-03-02_Time, sattime_2011-03-02_opt, sattime_2011-03-02_solved, sattime_2011-03-02_PAR,INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, CG_mean, CG_coeff_variation, CG_min, CG_max, CG_entropy, cluster_coeff_mean, cluster_coeff_coeff_variation, cluster_coeff_min, cluster_coeff_max, cluster_coeff_entropy, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q10, saps_FirstLocalMinStep_Q90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q10, gsat_FirstLocalMinStep_Q90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, CG_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, ls_saps_featuretime, ls_gsat_featuretime, lobjois_featuretime
1,0.005998,1,0.020586,999,1,5000.13,0,4914.23,999,1,5000.12,0,5000.04,999,1,5000.05,0,4999.92,999,1,5000.1,0,5000.12,999,1,5000.07,0,4999.92,999,1,5000.06,0,5000.12,999,1,5000.02,0,4999.91,999,1,3471.53,1,3470.92,999,1,505.182,1,505.17,999,1,5000.02,0,4999.91,999,1,5000.05,0,5000.03,999,1,5000.17,0,5000.04,999,1,5000.11,0,5000.01,999,1,5000.08,0,4999.92,999,1,270,1080,270,1080,0,0,0.25,0.5,0.577350269,0.333333333,1,0.562335145,0.011111111,0,0.011111111,0.011111111,0,0,0,1,0.011111111,0,0.011111111,0.011111111,0,0,0,0,0,0,0.005432099,0.289196545,0.002777778,0.008333333,1.235134592,0.488888889,0.005548697,0.014308822,0.00462963,0.005555556,0.01388203,0.005719287,0.012962963,0.013888889,0.043715273,0.301975309,0.031546266,0.3,0.4,0.307195037,6.040892193,0.032783312,6,7,0.170769294,4427.6,0.031063403,4208,4633,4633,4208,4472,4383,4442,31.07085702,0.03526919,29.75308935,32.87653788,32.87653788,29.75308935,31.37865826,30.12708191,31.21891771,0,0,0,0,0,0,0,0,0,0.041976557,7.68E-05,0.041972779,0.041989344,0.041980715,0.041973393,0.041978525,0.041973993,0.041975639,21.0262,0.243869,61.8715,0.0901939,62,55,69,1.1498,0.300999,0.924802,0.0567807,14.1429,0.183731,61.913,0.0891945,62,55,69,0.43578,0.428937,0.871594,0.0436284,0.591017182,0.849839616,0,0,0,0.01,0.01,1.99,0.01,2.29,2.38,2
2,5000.1,0,5000.02,999,2,5000.09,0,4973.75,999,2,1943.87,1,1943.8,999,2,3294.03,1,3293.93,999,2,5000.05,0,4999.82,999,2,2395.21,1,2395.2,999,2,153.203,1,153.203,999,2,1594.24,1,1594.21,999,2,5000.1,0,4999.13,999,2,3357.33,1,3357.22,999,2,1648.23,1,1648.17,999,2,5000.11,0,5000.02,999,2,5000.11,0,4999.99,999,2,5000.09,0,4999.91,999,2,5000.11,0,5000.12,999,2,338,2376,338,2376,0,0,0.142255892,0.372306397,0.802153872,0,1,1.617037551,0.013049628,0.132789326,0.01183432,0.017751479,0.799591143,0,0,0,0.013049628,0.269142163,0.01010101,0.033670034,1.247273047,0.020184549,0.044179582,0,0.2,0.636343568,0.003354551,0.209864221,0.001262626,0.00547138,1.907054909,0.265993266,0.003628494,0.116936208,0.002525253,0.005050505,0.02045993,0.262052206,0.013468013,0.041666667,2.520186064,0.447442275,0.156457705,0.326241135,0.642187143,2.875896982,6.017804154,0.021974635,6,7,0.089365604,2331.444444,0.421346355,421,3557,3557,421,3205,1808,2485,30.02589753,0.359615277,4.779097387,43.85830756,43.85830756,4.779097387,32.76067616,28.89635158,31.0028169,0.037077135,1.544934327,4.73E-06,0.302773111,0.160801891,0.000550559,0.027576487,0.003324436,0.012595123,0.103595213,0.195811662,0.081433921,0.197843751,0.125997092,0.083909679,0.110250971,0.088213367,0.100237303,26.4392,0.137676,53.7463,0.0984875,54,47,60,1.57869,0.107721,0.963276,0.0313048,26.639,0.13329,53.596,0.0984055,53,47,60,1.02537,0.416005,0.964263,0.0300921,0.210986501,0.500839931,0,0,0,0.25,0.04,1.98,0.09,2.13,2.31,2
3,2186.14,1,2186.11,999,3,5000.11,0,4970.25,999,3,188.834,1,188.83,999,3,655.927,1,655.922,999,3,5000.04,0,4999.82,999,3,64.5702,1,64.5733,999,3,394.413,1,394.407,999,3,278.078,1,278.072,999,3,5000.05,0,4999.15,999,3,90.5702,1,90.5683,999,3,938.346,1,938.314,999,3,5000.09,0,4999.93,999,3,5000.18,0,5000,999,3,5000.08,0,4999.91,999,3,5000.03,0,4999.92,999,3,311,2192,311,2192,0,0,0.141879562,0.36803528,0.829398788,0,1,1.597407969,0.014176074,0.122728919,0.012861736,0.019292605,0.759474578,0,0,0,0.014176074,0.220837283,0.010948905,0.023722628,1.240880016,0.020316072,0.045128106,0,0.2,0.60844744,0.003508813,0.20883603,0.001368613,0.005474453,1.852847737,0.255474453,0.003934213,0.110220444,0.003193431,0.005474453,0.021819556,0.189645924,0.015967153,0.035127737,2.478853191,0.447920268,0.161077791,0.314285714,0.637267081,2.803723141,6.035483871,0.030651953,6,7,0.153315922,2344.888889,0.504487975,398,3860,3860,398,3190,1218,2753,24.71687761,0.39935308,4.721105528,33.89196891,33.89196891,4.721105528,31.64874791,18.87848933,29.43667712,0.040255272,1.508998957,2.51E-06,0.303519943,0.176075286,0.00071687,0.027666593,0.006173833,0.013498234,0.104515546,0.159395615,0.083036953,0.166160976,0.129474182,0.085370612,0.111342139,0.091057649,0.102167784,24.2858,0.145132,49.3149,0.105567,49,43,56,1.57595,0.111286,0.964064,0.0456743,24.3157,0.139195,49.4118,0.102295,49,43,56,1.05999,0.40949,0.965154,0.0365647,0.218986186,0.521323017,0,0,0,0.21,0.04,1.99,0.08,2.16,2.32,2
4,5000.1,0,5000.02,999,4,5000.07,0,4971.25,999,4,135.159,1,135.156,999,4,855.848,1,855.845,999,4,5000.06,0,5000.02,999,4,1868.42,1,1868.37,999,4,3892,1,3891.9,999,4,2332.63,1,2332.58,999,4,5000.04,0,4999.24,999,4,264.845,1,264.839,999,4,5000.1,0,4999.91,999,4,5000.01,0,4999.93,999,4,5000.2,0,5000.01,999,4,5000.09,0,4999.91,999,4,5000.12,0,5000.02,999,4,352,2492,352,2492,0,0,0.141252006,0.375548422,0.797360321,0,1,1.628027248,0.012576609,0.138565,0.011363636,0.017045455,0.825537639,0,0,0,0.012576609,0.27451329,0.009630819,0.024077047,1.292012521,0.022612378,0.045729018,0,0.2,0.765351072,0.003277534,0.211571776,0.001203852,0.005617978,1.928965993,0.270064205,0.003467916,0.107693432,0.002407705,0.004414125,0.019610104,0.240224016,0.012841091,0.035714286,2.564646613,0.454152201,0.179631321,0.326241135,0.694835681,2.91734162,6.071225071,0.042363843,6,7,0.25679636,2175.444444,0.379236356,479,3145,3145,479,2769,1570,2502,29.35072808,0.313344446,4.770354906,37.42885691,37.42885691,4.770354906,33.81076201,29.39514067,31.12717678,0.040032406,1.451830122,6.64E-07,0.296696901,0.162904864,0.000513062,0.030759334,0.006036974,0.01890926,0.100901649,0.161773899,0.080563525,0.164407414,0.125695449,0.084427844,0.106464806,0.088957151,0.097839084,27.4687,0.133778,56.0965,0.0964843,56,49,63,1.5742,0.111075,0.963152,0.0307084,27.5746,0.128432,56.0829,0.0958694,56,49,63,0.999214,0.416585,0.963453,0.0299331,0.206332583,0.512161806,0,0,0,0.26,0.05,1.99,0.09,2.16,2.27,2
5,5000.1,0,5000.02,999,5,5000.11,0,4967.15,999,5,2001.55,1,2001.48,999,5,668.36,1,668.362,999,5,5000.11,0,5000.12,999,5,3569.42,1,3569.36,999,5,173.21,1,173.21,999,5,1213.55,1,1213.51,999,5,5000.07,0,4999.23,999,5,1009.15,1,1009.16,999,5,4375.33,1,4375.22,999,5,5000.01,0,4999.93,999,5,5000.15,0,5000.1,999,5,5000.03,0,4999.91,999,5,5000.05,0,5000.02,999,5,354,2596,354,2596,0,0,0.136363636,0.359887006,0.845292024,0,1,1.691891959,0.012788035,0.160771726,0.011299435,0.016949153,0.920542233,0,0,0,0.012788035,0.345948795,0.009244992,0.027734977,1.43425679,0.026087472,0.045391588,0,0.2,0.96744187,0.003032697,0.202447327,0.001155624,0.004622496,1.86593048,0.250385208,0.003353704,0.114445442,0.002696456,0.004237288,0.020557287,0.307013208,0.01348228,0.038135593,2.98110477,0.47431685,0.191644239,0.326241135,0.701877934,3.172958316,6.203966006,0.064949422,6,7,0.505851562,2205.777778,0.444091015,727,3495,3495,727,2978,1708,2168,28.91034631,0.308019085,11.87482806,42.1051041,42.1051041,11.87482806,33.66866953,26.04617056,32.49063232,0.03908113,1.44256642,2.60E-08,0.300235811,0.090727047,0.0002147,0.057043289,0.002450693,0.013420136,0.105484261,0.201074077,0.081167115,0.179103469,0.135296546,0.084509431,0.11541424,0.09010218,0.099736343,27.6506,0.145276,55.9953,0.0975009,56,49,63,1.57205,0.114841,0.961956,0.0336126,27.7525,0.129765,56.0509,0.0947902,56,49,63,0.985206,0.420831,0.962517,0.0300484,0.206712637,0.487759896,0,0,0,0.35,0.05,1.99,0.1,2.12,2.27,2
6,5000.08,0,5000.02,999,6,5000.07,0,4966.45,999,6,4204.52,1,4204.37,999,6,155.124,1,155.132,999,6,5000.06,0,4999.92,999,6,2542.63,1,2542.64,999,6,3494.53,1,3494.57,999,6,1406.36,1,1406.31,999,6,5000.08,0,4999.23,999,6,585.98,1,586.022,999,6,4047.86,1,4047.76,999,6,5000.07,0,4999.93,999,6,5000.15,0,5000,999,6,5000.05,0,4999.91,999,6,5000.06,0,4999.92,999,6,349,2416,349,2416,0,0,0.144453642,0.367108168,0.84526526,0,1,1.603006314,0.012523957,0.134558763,0.011461318,0.017191977,0.770490906,0,0,0,0.012523957,0.309244985,0.009933775,0.036423841,1.193641202,0.016769358,0.04179648,0,0.2,0.622110827,0.00318673,0.212640503,0.001241722,0.005794702,1.863712072,0.263245033,0.003515247,0.120782726,0.002483444,0.004966887,0.019823692,0.341704493,0.013245033,0.054221854,2.566253031,0.44605488,0.165468282,0.30118798,0.652173913,2.795296311,6.209770115,0.065565143,6,7,0.513651931,2084.666667,0.466046262,410,3354,3354,410,2731,1631,2473,25.12906025,0.406116682,4.295121951,33.21953578,33.21953578,4.295121951,31.05538302,26.19006744,30.43006431,0.031083262,1.759977085,4.32E-07,0.310093657,0.087842422,0.00033071,0.026274395,0.001320851,0.011435101,0.096178518,0.165274749,0.08014286,0.173668559,0.118151476,0.082001345,0.100778439,0.08400335,0.093355713,27.6702,0.134018,56.0036,0.0976923,56,49,63,1.58808,0.102421,0.965605,0.0426403,27.8031,0.128166,56.0213,0.096724,56,49,63,1.03346,0.403671,0.966145,0.0290924,0.207123345,0.46840837,0,0,0,0.26,0.04,1.98,0.09,2.14,2.31,2
7,5000.06,0,5000.32,999,7,5000.18,0,4968.67,999,7,567.829,1,567.809,999,7,293.097,1,293.094,999,7,5000.11,0,5000.02,999,7,514.556,1,514.548,999,7,402.362,1,402.355,999,7,5000.09,0,5000.01,999,7,5000.07,0,4999.33,999,7,669.988,1,669.977,999,7,3112.66,1,3112.59,999,7,5000.02,0,4999.93,999,7,5000.13,0,4999.99,999,7,5000.1,0,4999.91,999,7,5000.07,0,4999.92,999,7,326,2332,326,2332,0,0,0.139794168,0.373899371,0.797156336,0,1,1.643096073,0.013669511,0.137421481,0.012269939,0.018404908,0.84370317,0,0,0,0.013669511,0.274993857,0.010291595,0.025728988,1.365045717,0.022791626,0.046203038,0,0.2,0.780937634,0.00347394,0.186435008,0.001286449,0.005574614,1.802028383,0.26329331,0.003738333,0.114008566,0.002572899,0.004716981,0.021560715,0.246160179,0.01457976,0.035591767,2.673903281,0.452201456,0.158863733,0.30118798,0.651749857,2.961944118,6.018461538,0.02236671,6,7,0.09198974,2439.666667,0.355927687,635,3447,3447,635,3230,2029,2695,29.38847049,0.275888083,8.332283465,36.0593692,36.0593692,8.332283465,33.66944172,30.29275505,32.72617744,0.039468869,1.51173875,3.49E-07,0.327329426,0.166567495,0.000438217,0.034720227,0.003187499,0.013927464,0.109176865,0.20683535,0.08138907,0.190107977,0.138402748,0.086307214,0.119001503,0.092264423,0.104227526,25.2627,0.14014,51.4495,0.100834,51,45,58,1.57662,0.107772,0.962375,0.0353538,25.4923,0.137375,51.4877,0.101702,51,45,58,1.01982,0.422406,0.963478,0.0311683,0.21532411,0.509894486,0,0,0,0.26,0.04,1.99,0.08,2.15,2.32,2
8,4220.26,1,4220.17,999,8,5000.13,0,4972.25,999,8,543.832,1,543.814,999,8,661.551,1,661.555,999,8,5000.03,0,4999.92,999,8,1923,1,1922.93,999,8,3962.38,1,3962.29,999,8,4060.58,1,4060.46,999,8,5000.09,0,4999.13,999,8,864.317,1,864.295,999,8,2673.69,1,2673.63,999,8,5000.08,0,5000.02,999,8,5000.19,0,5000.11,999,8,5000.03,0,4999.91,999,8,5000.03,0,4999.92,999,8,339,2416,339,2416,0,0,0.14031457,0.371633554,0.813616173,0,1,1.64692803,0.01308875,0.134965322,0.01179941,0.017699115,0.823974199,0,0,0,0.01308875,0.281338335,0.009933775,0.024834437,1.257828454,0.022205204,0.045355616,0,0.2,0.704319203,0.003267304,0.208486022,0.001241722,0.005380795,1.899653217,0.258278146,0.003584755,0.113572427,0.002483444,0.00455298,0.020582979,0.260158444,0.013245033,0.039321192,2.590223658,0.452401877,0.166209912,0.30118798,0.646586345,2.921242775,6.020710059,0.023653674,6,7,0.100789821,2300.111111,0.430920155,424,3416,3416,424,2901,1606,2773,28.73538881,0.391452346,4.507075472,42.29300241,42.29300241,4.507075472,33.88678091,24.0249066,32.66173819,0.040052684,1.475389376,2.92E-05,0.325448567,0.168416939,0.000762039,0.033859329,0.007373451,0.012991056,0.102241379,0.163292625,0.081210559,0.177408621,0.123365755,0.084379474,0.107551406,0.089856968,0.10093198,26.4137,0.14811,53.7992,0.0994273,54,47,60,1.57561,0.108906,0.962177,0.0342876,26.4657,0.133189,53.8928,0.0983625,54,47,61,1.02037,0.414727,0.963403,0.03068,0.21135963,0.473227456,0,0,0,0.26,0.05,1.99,0.08,2.17,2.28,2
9,59.7409,2,59.7405,999,9,62.1616,2,60.5436,999,9,30.8423,2,30.842,999,9,11.7022,2,11.7028,999,9,1327.41,2,1327.38,999,9,77.2313,2,77.2305,999,9,19.57,2,19.5693,999,9,36.4325,2,36.4357,999,9,270.879,2,270.469,999,9,38.5181,2,38.5179,999,9,21.2278,2,21.2274,999,9,28.5457,2,28.5465,999,9,135.506,2,135.505,999,9,5000.06,0,4999.91,999,9,5000.08,0,4999.92,999,9,1339,7095,1239,5851,0.08071025,0.212613229,0.211758674,0.293961811,0.922168503,0,1,2.931627701,0.007191089,0.453612623,0.001614205,0.01291364,2.611452167,0,0.101862929,0.175867373,0.007191089,4.384222194,0.000170911,0.709451376,3.04963343,0.533296134,0.172523041,0,1,2.690717053,0.00034058,2.542345121,0,0.010938301,1.286959093,0.141856093,0.007558706,1.494652578,0.001196377,0.205093146,-1,0,-1,0,-512,-1,0,-1,0,0,3.947495961,0.056501938,3,4,0.205823249,1802.75,0.477595614,256,2997,2822,641,2653,1323,1711,20.85842019,0.091762481,17.93610609,24.79457218,23.12412412,18.06396256,22.1420978,19.52077001,20.89923954,0.685014125,0.232020531,2.79E-07,1,0.833141084,0.511162905,0.799838838,0.610467138,0.748246799,0.421164343,0.423737809,0.001477995,0.999998201,0.499981269,0.044286378,0.49994024,0.497094603,0.499749763,7.61183,0.308417,66.5043,0.102624,66,58,75,1.02027,0.395158,0.928036,0.0229148,14.9506,0.185036,66.6331,0.102418,67,58,76,0.346735,1.40487,0.960148,0.0202444,0.435482648,0.873114609,0.04,0,0.01,60.5,0.62,1.99,0.61,2.13,2.48,2
10,3731.86,2,3731.76,999,10,1187.53,2,1171.89,999,10,515.338,2,515.342,999,10,1171.98,2,1171.97,999,10,4900.91,2,4900.68,999,10,623.777,2,623.765,999,10,154.832,2,154.829,999,10,170.271,2,170.282,999,10,5000.03,0,4998.53,999,10,4400.09,2,4399.92,999,10,133.148,2,133.145,999,10,5000.02,0,4999.93,999,10,418.25,2,418.266,999,10,5000.02,0,4999.91,999,10,5000.12,0,5000.02,999,10,468,11753,412,6961,0.13592233,0.688406838,0.059186898,0.445505416,0.922759633,0,1,1.727216098,0.008262051,0.614269543,0.004854369,0.029126214,1.497785118,0,0.506536417,0.747737394,0.008262051,0.825302888,0.000143658,0.042378969,3.173185625,0.600620318,0.107447135,0,1,2.54411412,0.002991354,0.545235348,0,0.008044821,3.421236178,0.516448786,0.010459104,0.839678385,0.000143658,0.048987214,0.014227852,1.158113332,0.00172389,0.044821146,3.509639101,0.251885149,0.967262914,0.021806854,0.95952381,2.757579587,3.829683698,0.098157046,3,4,0.456387395,3985,0.170970324,2808,4437,4437,2808,4437,4301,4394,35.18559236,0.083266162,32.02708239,39.87142525,39.87142525,32.02708239,39.87142525,33.6362407,35.20762108,0.825263471,0.166603479,4.38E-05,1,0.885850984,0.735887123,0.881144724,0.827361154,0.873952697,0.093430383,1.873392467,0.001616511,0.975193088,0.472790698,0.004918478,0.038851811,0.010619522,0.014051517,12.5592,1.87125,132.961,0.0722578,133,121,145,6.09144,0.160819,0.990513,0.0222456,13.8978,0.517032,132.89,0.0692832,133,122,144,3.53383,0.395903,0.992708,0.0118995,0.569885853,0.796593197,0.02,0,0,7.67,0.15,1.99,0.22,2.14,2.22,2
