INSTANCE_ID, RestartSAT_B95_Time, RestartSAT_B95_opt, RestartSAT_B95_solved, RestartSAT_B95_PAR, INSTANCE_ID, glueminisat_2.2.5_Time, glueminisat_2.2.5_opt, glueminisat_2.2.5_solved, glueminisat_2.2.5_PAR, INSTANCE_ID, SAT09referencesolver:precosat_236_Time, SAT09referencesolver:precosat_236_opt, SAT09referencesolver:precosat_236_solved, SAT09referencesolver:precosat_236_PAR, INSTANCE_ID, minisathack:cir_minisat_2011-05-13\(simp\)_Time, minisathack:cir_minisat_2011-05-13\(simp\)_opt, minisathack:cir_minisat_2011-05-13\(simp\)_solved, minisathack:cir_minisat_2011-05-13\(simp\)_PAR, INSTANCE_ID, minisathackreference:minisat_2.2.0_Time, minisathackreference:minisat_2.2.0_opt, minisathackreference:minisat_2.2.0_solved, minisathackreference:minisat_2.2.0_PAR, INSTANCE_ID, minisathack:EBMiniSAT_2011-03-02_Time, minisathack:EBMiniSAT_2011-03-02_opt, minisathack:EBMiniSAT_2011-03-02_solved, minisathack:EBMiniSAT_2011-03-02_PAR, INSTANCE_ID, minisathack:contrasat_2011-03-02_Time, minisathack:contrasat_2011-03-02_opt, minisathack:contrasat_2011-03-02_solved, minisathack:contrasat_2011-03-02_PAR, INSTANCE_ID, minisathack:LR_GL_SHR_2011-03-02_Time, minisathack:LR_GL_SHR_2011-03-02_opt, minisathack:LR_GL_SHR_2011-03-02_solved, minisathack:LR_GL_SHR_2011-03-02_PAR, INSTANCE_ID, minisathack:MiniSAT_2.2.0-agile-26_Time, minisathack:MiniSAT_2.2.0-agile-26_opt, minisathack:MiniSAT_2.2.0-agile-26_solved, minisathack:MiniSAT_2.2.0-agile-26_PAR, INSTANCE_ID, SAT09referencesolver:glucose_1.0_Time, SAT09referencesolver:glucose_1.0_opt, SAT09referencesolver:glucose_1.0_solved, SAT09referencesolver:glucose_1.0_PAR, INSTANCE_ID, glucose_2_Time, glucose_2_opt, glucose_2_solved, glucose_2_PAR, INSTANCE_ID, EBGlucose_1.0_Time, EBGlucose_1.0_opt, EBGlucose_1.0_solved, EBGlucose_1.0_PAR, INSTANCE_ID, Lingeling_587f\(fixed\)_Time, Lingeling_587f\(fixed\)_opt, Lingeling_587f\(fixed\)_solved, Lingeling_587f\(fixed\)_PAR, INSTANCE_ID, minisathack:minisat_psm_2011-04-01_Time, minisathack:minisat_psm_2011-04-01_opt, minisathack:minisat_psm_2011-04-01_solved, minisathack:minisat_psm_2011-04-01_PAR, INSTANCE_ID, CryptoMiniSat_Strange-Night2-st\(fixed\)_Time, CryptoMiniSat_Strange-Night2-st\(fixed\)_opt, CryptoMiniSat_Strange-Night2-st\(fixed\)_solved, CryptoMiniSat_Strange-Night2-st\(fixed\)_PAR, INSTANCE_ID, rcl_2011-04-01_Time, rcl_2011-04-01_opt, rcl_2011-04-01_solved, rcl_2011-04-01_PAR, INSTANCE_ID, MPhaseSAT64_2011-05-14\(fixed\)_Time, MPhaseSAT64_2011-05-14\(fixed\)_opt, MPhaseSAT64_2011-05-14\(fixed\)_solved, MPhaseSAT64_2011-05-14\(fixed\)_PAR, INSTANCE_ID, QuteRSat_2011-05-12\(fixed\)_Time, QuteRSat_2011-05-12\(fixed\)_opt, QuteRSat_2011-05-12\(fixed\)_solved, QuteRSat_2011-05-12\(fixed\)_PAR,INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, CG_mean, CG_coeff_variation, CG_min, CG_max, CG_entropy, cluster_coeff_mean, cluster_coeff_coeff_variation, cluster_coeff_min, cluster_coeff_max, cluster_coeff_entropy, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q10, saps_FirstLocalMinStep_Q90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q10, gsat_FirstLocalMinStep_Q90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, CG_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, ls_saps_featuretime, ls_gsat_featuretime, lobjois_featuretime
1,41.3917,1,41.3941,999,1,50.3433,1,50.3428,999,1,45.4851,1,45.546,999,1,49.6624,1,49.661,999,1,52.789,1,52.8071,999,1,43.1564,1,43.1568,999,1,44.5022,1,44.5022,999,1,42.2826,1,42.281,999,1,52.93,1,52.9443,999,1,168.253,1,168.264,999,1,202.105,1,202.108,999,1,44.8202,1,44.834,999,1,43.0764,1,43.097,999,1,16.3465,1,16.3552,999,1,71.1612,1,71.1664,999,1,65.914,1,65.9204,999,1,15.3187,1,15.322,999,1,232.207,1,232.214,999,1,138563,4675040,81194,4554630,0.706566988,0.026436835,0.017826695,0.834865238,0.384951002,0,1,0.895021088,3.96E-05,2.816153299,2.46E-05,0.004335296,0.739960075,0,0.82920347,0.94052821,3.96E-05,3.376869716,1.54E-06,0.004403212,5.230199389,0.513176555,0.327251295,0,0.98488665,4.038583533,2.45E-05,2.470100921,0,0.001125668,5.06498582,0.940317216,6.16E-05,2.350641884,1.54E-06,0.003302354,-1,0,-1,0,-512,-1,0,-1,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804016634,0.420913673,0,1,1,0.047953685,0.999999671,0.768128387,0.999491328,0.096746698,1.637470651,0,0.5,0.361631077,1.00E-09,0.207529857,1.66E-07,0.000315609,88117,0,0,0,0,0,0,312.725,0,1.0904,0,55716,0,0,0,0,0,0,156.153,0,1.05704,0,0.128732829,0.232583874,20.25,1.49,21.15,63.94,2.6,2.02,40.53,5.75,5.74,2.22
2,39.9189,1,39.9191,999,2,46.3909,1,46.391,999,2,34.9737,1,35.0259,999,2,43.3834,1,43.3853,999,2,41.5287,1,41.528,999,2,44.5352,1,44.5384,999,2,45.722,1,45.7224,999,2,39.9099,1,39.9099,999,2,41.5117,1,41.5559,999,2,204.17,1,204.176,999,2,76.1184,1,76.1237,999,2,25.5141,1,25.5155,999,2,18.3222,1,18.3403,999,2,17.5193,1,17.6857,999,2,23.7544,1,23.7746,999,2,19.469,1,19.4764,999,2,16.5875,1,16.5876,999,2,47.7867,1,47.7871,999,2,138795,4671352,81184,4547858,0.709634903,0.027154322,0.017851041,0.834526237,0.385458918,0,1,0.895733267,3.94E-05,2.760677039,2.46E-05,0.00433583,0.74006886,0,0.829042376,0.940515513,3.94E-05,3.366228522,1.54E-06,0.004298287,5.22421212,0.513976231,0.327101284,0,0.97733711,4.056130047,2.45E-05,2.465997924,0,0.001127344,5.058996661,0.940260008,6.16E-05,2.346889562,1.54E-06,0.003308151,-1,0,-1,0,-512,-1,0,-1,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803365981,0.422069579,0,1,1,0.041258792,0.999999671,0.764812416,0.999487951,0.096812786,1.63609075,0,0.5,0.360727352,1.00E-09,0.210777265,1.65E-07,0.000318857,116966,0,0,0,0,0,0,415.819,0,1.12803,0,55608,0,0,0,0,0,0,153.278,0,1.05911,0,0.240926784,0.429625026,20.95,0.9,20.89,70.27,2.39,2.02,39.06,5.81,5.57,2.6
3,5000.15,0,5000.02,999,3,2176.51,2,2176.46,999,3,5000.07,0,4999.96,999,3,5000.36,0,5000.24,999,3,5000.24,0,5000.13,999,3,5000.29,0,5000.2,999,3,5000.14,0,5000.16,999,3,1144.59,2,1144.57,999,3,5000.35,0,5000.15,999,3,5000.06,0,4999.92,999,3,2648.1,2,2648.06,999,3,5000.04,0,4999.91,999,3,2654.56,2,2654.51,999,3,5000.01,0,4999.92,999,3,2432.68,2,2432.61,999,3,5000.01,0,4999.91,999,3,3091.14,2,3091.09,999,3,3632.55,2,3632.51,999,3,482093,9676386,394950,9444694,0.220643119,0.024531446,0.04181713,0.779550176,0.510860247,0,1,0.941830912,7.85E-06,2.397525276,5.06E-06,0.000516521,0.527264541,0,0.922678702,0.94379945,7.85E-06,8.981840539,5.29E-07,0.010108003,4.51634556,0.34662539,0.258347447,0,1,4.240077183,4.80E-06,8.767802504,1.06E-07,0.005463279,4.210399467,0.938893944,1.52E-05,5.841024491,5.29E-07,0.015960814,-1,0,-1,0,-512,-1,0,-1,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896538192,0.272590852,0,1,1,0.53773581,1,0.959512615,0.998996361,0.065880317,1.964282234,0,1,0.297456488,0,0.056880174,5.20E-08,0.001299271,1543100,0,0,0,0,0,0,4449.26,0,3.4424,0,1504320,0,0,0,0,0,0,3940.39,0,2.97807,0,0.220035448,0.349011267,132.44,1.87,424.62,161.82,2.95,2.04,66.94,10.23,9.83,2.02
4,5000.15,0,5000.02,999,4,1728.79,2,1728.75,999,4,5000.05,0,4999.95,999,4,5000.27,0,5042.51,999,4,5000.23,0,5000.1,999,4,5000.23,0,5000.06,999,4,5000.12,0,5000.05,999,4,935.02,2,935.022,999,4,5000.31,0,5000.11,999,4,4746.19,2,4746.05,999,4,1774.78,2,1774.78,999,4,5000.02,0,4999.91,999,4,1816.28,2,1816.25,999,4,5000.05,0,5000.23,999,4,1691.58,2,1691.55,999,4,5000.03,0,4999.92,999,4,2741.88,2,2741.8,999,4,1775.87,2,1775.83,999,4,371419,7170909,303312,6994286,0.224544364,0.02525247,0.043365685,0.77703085,0.513572629,0,1,0.959977493,1.02E-05,2.320854888,6.59E-06,0.000619824,0.546257741,0,0.918630579,0.941691261,1.02E-05,8.032931946,7.15E-07,0.011179411,4.510021692,0.345958662,0.261390396,0,1,4.25007225,6.23E-06,7.715295761,1.43E-07,0.006004902,4.198718243,0.936247388,1.95E-05,5.29931536,7.15E-07,0.015319362,-1,0,-1,0,-512,-1,0,-1,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886142378,0.288064043,0,1,1,0.489606755,0.999993029,0.948761541,0.997814477,0.072679605,1.858101554,0,1,0.316230814,1.00E-09,0.074661001,1.01E-05,0.002872403,1085440,0,0,0,0,0,0,2376.23,0,3.03925,0,1038340,0,0,0,0,0,0,2147.7,0,2.61695,0,0.223594022,0.466358074,78.16,1.85,251.08,98.83,2.75,2,47.71,8.36,7.89,2.36
5,5000.14,0,4999.93,999,5,933.356,2,933.344,999,5,5000.12,0,4999.94,999,5,3062.96,2,3062.9,999,5,5000.2,0,5000.06,999,5,5000.22,0,5000.05,999,5,5000.11,0,4999.94,999,5,326.479,2,326.565,999,5,5000.24,0,5000.09,999,5,1570.1,2,1570.07,999,5,719.008,2,718.985,999,5,2686.32,2,2686.27,999,5,720.348,2,720.337,999,5,5000.02,0,4999.83,999,5,598.394,2,598.38,999,5,5000.03,0,4999.91,999,5,5000.07,0,4999.94,999,5,724.46,2,724.519,999,5,209724,3634677,168000,3532144,0.248357143,0.029028545,0.04756318,0.769075908,0.522863013,0,1,1.002846222,1.84E-05,2.153408183,1.19E-05,0.000970238,0.58972643,0,0.908663973,0.936868089,1.84E-05,6.453508086,1.42E-06,0.015006466,4.471646536,0.344313721,0.263382489,0,1,4.262914256,1.12E-05,5.976577949,2.83E-07,0.007991464,4.164984364,0.930078728,3.41E-05,4.347821111,1.42E-06,0.014898317,0,0,0,0,-512,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863417868,0.320847216,0,1,0.999997243,0.353013643,0.99963619,0.924730568,0.99182299,0.087690646,1.635481982,0,1,0.341192568,4.15E-06,0.108604598,0.000513043,0.010982196,440797,0,0,0,0,0,0,531.114,0,2.18564,0,377921,0,0,0,0,0,0,395.696,0,1.88433,0,0.175712302,0.457510893,27.69,0.55,78.18,155.34,2.06,2.01,22.11,4.75,4.69,2
6,5000.1,0,4999.94,999,6,5000.05,0,4999.92,999,6,17.0374,1,17.0372,999,6,5000.06,0,5000.05,999,6,5000.06,0,4999.95,999,6,5000.05,0,4999.95,999,6,5000.08,0,4999.94,999,6,5000.12,0,5000.14,999,6,5000.06,0,4999.95,999,6,5000.02,0,4999.92,999,6,5000.07,0,4999.91,999,6,5000,0,4999.91,999,6,1363.5,1,1363.46,999,6,5000.03,0,4999.93,999,6,5000.08,0,5000.03,999,6,5000.04,0,4999.91,999,6,5000.04,0,4999.93,999,6,5000.11,0,5000.05,999,6,6228,484871,6212,479096,0.00257566,0.012053952,0.012966086,0.396513523,0.802125929,0,1,1.060484527,0.00127371,0.078277944,0.000321958,0.00128783,0.182359317,0,0.009716216,0.009791357,0.00127371,0.299402115,2.09E-06,0.002842854,4.925636142,0.274702084,0.288655031,0.004032258,1,1.321704622,3.87E-06,1.987830142,2.09E-06,0.000183679,0.882730201,0.010375791,0.000576649,0.287836042,2.09E-06,0.001266969,-1,0,-1,0,-512,-1,0,-1,0,0,19.2238806,0.316585548,2,22,1.040095672,308.1034483,0.284487185,64,461,412,180,372,259,309,10.69171094,0.197181244,5,12.34965035,12.21445221,6.473684211,11.96969697,10.80526316,11.60752688,0.370025005,0.82025326,0.008032129,1,0.904672718,0.195833333,0.617991228,0.196428571,0.197297297,0.45275104,0.188366023,0.215598579,1,0.5,0.30917124,0.5,0.493029891,0.5,432.7,0.229479,1123.9,0.0212321,1128,1079,1151,0.548979,0.485541,0.829236,0.0464921,724.167,0.0609351,1076.5,0.250872,1141.5,1092,1168,0.499842,0.785322,0.95711,0.115002,0.015645035,0.038190917,2.04,0.08,0.29,60.03,2.03,2.01,4.37,2.77,2.79,2
7,5000.07,0,4999.92,999,7,5000.03,0,4999.91,999,7,5000.06,0,4999.91,999,7,5000.12,0,5000.02,999,7,5000.07,0,4999.92,999,7,5000.09,0,4999.92,999,7,5000.06,0,4999.93,999,7,5000.09,0,5000.02,999,7,5000.06,0,4999.91,999,7,5000.07,0,4999.91,999,7,4269.69,2,4269.57,999,7,5000.01,0,4999.91,999,7,5000.05,0,4999.92,999,7,5000.02,0,4999.93,999,7,4573.78,2,4573.76,999,7,5000.03,0,5000.01,999,7,965.272,2,965.289,999,7,4021.42,2,4021.33,999,7,570,4625,404,3634,0.410891089,0.272702256,0.111172262,0.963437901,0.130069257,0,1,0.32469659,0.006709869,0.706710954,0.004950495,0.024752475,0.578733663,0,0.853604843,0.856356632,0.006709869,0.492528232,0.003026968,0.018987342,2.854724805,0.295908134,0.177727272,0,1,1.914722422,0.004225767,0.580916791,0,0.012933407,2.930455174,0.853604843,0.012203229,0.707127453,0.003852504,0.052559163,0.009562201,1.442675225,0,0.087506879,3.708580132,0.126297487,0.532936291,0,0.4,2.964553002,3.972704715,0.075961364,3,5,0.36622829,3714.444444,0.072569462,3117,4177,4177,3117,3825,3683,3742,33.92053117,0.131649515,28.54935989,42.42508823,42.42508823,28.54935989,35.07006536,31.56977371,31.81186531,0.684775958,0.144867922,0.151932263,1,0.754571958,0.570731569,0.737807646,0.600409804,0.704727363,0.028377838,1.155254567,3.95E-07,0.116782189,0.087983993,0.000111188,0.041863254,0.00153369,0.017922577,1.95123,6.18165,109.232,0.0735532,109,99,119,4.4528,0.179511,0.978382,0.0196865,4.27164,2.67238,109.444,0.0762726,110,99,120,2.16472,0.487347,0.982646,0.0441868,0.63758175,0.875048966,0.01,0,0,0.37,0.05,1.99,0.04,2.18,2.33,2
8,2.48062,1,2.48153,999,8,2.55461,1,2.55592,999,8,1.46378,1,1.46351,999,8,1.80272,1,1.80351,999,8,1.40479,1,1.40948,999,8,1.45378,1,1.45749,999,8,8.51171,1,8.51256,999,8,1.66874,1,1.66823,999,8,1.40579,1,1.40727,999,8,2583.51,1,2583.46,999,8,1122.56,1,1122.54,999,8,1.81772,1,1.82115,999,8,4.69729,1,4.69734,999,8,1.72474,1,1.72586,999,8,5000.06,0,4999.94,999,8,154.708,1,154.732,999,8,11.2773,1,11.2783,999,8,5000.08,0,4999.95,999,8,14013,481761,11770,441393,0.190569244,0.091455913,0.026665579,0.99600309,0.036512474,0,1,0.089060962,0.000298839,1.216559113,0.000169924,0.001359388,0.426163242,0,0.883090579,0.883144952,0.000298839,0.324465736,2.27E-06,0.000684198,4.226466229,0.021766137,0.094802528,0,1,0.762556824,0.000150058,0.322332983,0,0.000342099,4.061994197,0.883090579,0.001157645,0.387175644,1.81E-05,0.002752649,-1,0,-1,0,-512,-1,0,-1,0,0,17.38823529,0.459412074,2,22,1.061858048,3377,0,3377,3377,3377,3377,3377,3377,3377,41.22297898,0,41.22297898,41.22297898,41.22297898,41.22297898,41.22297898,41.22297898,41.22297898,0.578003061,0.300128338,9.29E-05,1,0.743702447,0.320718413,0.685031132,0.518515969,0.623570021,0.003160811,13.61272948,0,1,0.000110348,0,2.14E-05,2.00E-09,9.68E-07,2400.88,2.18191,4136.25,0.404176,4721.5,0,4764,16.6777,0.322858,1.01481,0.0672481,1101.29,0.183232,4390,0.288028,4737,4594,4755,10.6272,0.384579,0.997369,0.00588223,0.375299297,0.546095205,1.98,0.07,0.5,60.04,2.03,2,2.96,2.38,2.43,2.06
9,11.5652,2,11.5785,999,9,3.68644,2,3.68709,999,9,14.5968,2,14.6095,999,9,10.2514,2,10.2524,999,9,25.5701,2,25.5692,999,9,8.73467,2,8.7352,999,9,79.3859,2,79.3866,999,9,17.4383,2,17.438,999,9,26.079,2,26.0789,999,9,5.43317,2,5.43494,999,9,8.03378,2,8.03762,999,9,10.2524,2,10.2539,999,9,3.99439,2,3.9944,999,9,10.3964,2,10.3987,999,9,15.7146,2,15.7149,999,9,10.6964,2,10.6972,999,9,33.5869,2,33.5861,999,9,5.43617,2,5.44607,999,9,19473,58308,4430,22331,3.395711061,1.611078769,0.198378935,0.452560083,0.698279755,0,1,1.666137,0.001185882,1.271866298,0.000451467,0.006094808,1.299769717,0,0.165330706,0.793694864,0.001185882,1.410822071,0.000313466,0.023330796,3.177205335,0.510985602,0.300506535,0,0.942857143,3.159385017,0.000387935,1.839766268,8.96E-05,0.006627558,1.750243566,0.607361963,0.001585038,2.063317552,0.000223904,0.061036228,-1,0,-1,0,-512,-1,0,-1,0,0,4.863013699,0.070703664,4,5,0.399454802,2194.4,0.168724184,1577,2631,2631,1577,2405,1994,2365,20.48159635,0.253296518,13.57260621,28.51843406,28.51843406,13.57260621,23.54511435,16.95787362,19.81395349,0.283838772,0.89032453,3.60E-08,0.999952999,0.690363364,0.080375273,0.353976747,0.107320672,0.193699467,0.153148941,0.652423215,0,0.253696792,0.24034423,0.000454684,0.240157999,0.053026225,0.237382768,147.943,0.41701,1478.59,0.122223,1502,1467,1527,1.05313,0.214228,0.949136,0.0446381,147.817,0.0683036,1496.67,0.0155453,1498,1468,1531,0.575414,0.251104,0.945992,0.00536039,0.168038994,0.681843906,0.5,0.01,0.06,60.03,2.01,2,2.1,2.08,2.26,2
10,30.3034,2,30.3141,999,10,15.2387,2,15.2379,999,10,33.5349,2,33.5438,999,10,38.2642,2,38.2654,999,10,36.5744,2,36.5737,999,10,48.0727,2,48.0778,999,10,35.1317,2,35.1314,999,10,62.6015,2,62.621,999,10,28.7526,2,28.7526,999,10,29.0056,2,29.005,999,10,20.3859,2,20.3889,999,10,31.7462,2,31.7509,999,10,13.467,2,13.4705,999,10,24.7882,2,24.7921,999,10,22.3466,2,22.346,999,10,49.7864,2,49.7892,999,10,33.7379,2,33.7383,999,10,50.8173,2,50.833,999,10,21317,63664,4683,24568,3.551996583,1.591338326,0.190613807,0.479511115,0.657420426,0,1,1.748957974,0.00099801,1.267669615,0.000427077,0.00640615,1.388247743,0,0.140874308,0.70970368,0.00099801,1.286779936,0.000284923,0.017014002,3.233469391,0.389401773,0.325239814,0,0.909090909,3.257053485,0.000417003,1.395567243,8.14E-05,0.005250733,2.549884233,0.588244871,0.001210479,1.483953787,0.000203517,0.032562683,0.005094785,1.046108135,0.000203517,0.042901335,5.332519002,0.139628785,0.669413788,0.024467054,0.650505051,3.097938393,6.061345159,0.08244827,5,8,0.732309955,1660.111111,0.255127952,1217,2696,2696,1217,1652,1455,1517,24.65706821,0.211555238,19.24404273,36.39206232,36.39206232,19.24404273,26.72972973,19.65704467,24.30652604,0.266150051,0.863718582,2.50E-07,0.999986193,0.642327608,0.08365635,0.314151962,0.152360607,0.186406041,0.126418504,0.807127575,0,0.272101758,0.240331519,0.000636606,0.240061672,0.030993683,0.076252406,186.358,0.488131,1440.45,0.125268,1458,1435,1491,1.09012,0.150872,0.935688,0.0746919,189.06,0.0744834,1464.11,0.0175517,1466,1432,1497,0.582272,0.237306,0.932241,0.00606335,0.128503722,0.534399246,0.48,0,0.07,41.46,2.01,2,2.14,2.08,2.26,2
