INSTANCE_ID, EagleUP_1.565.350_Time, EagleUP_1.565.350_opt, EagleUP_1.565.350_solved, EagleUP_1.565.350_PAR, INSTANCE_ID, SAT09referencesolver:TNM_2009-03-22_Time, SAT09referencesolver:TNM_2009-03-22_opt, SAT09referencesolver:TNM_2009-03-22_solved, SAT09referencesolver:TNM_2009-03-22_PAR, INSTANCE_ID, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_Time, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_opt, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_solved, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_PAR, INSTANCE_ID, adaptg2wsat2011_2011-03-02_Time, adaptg2wsat2011_2011-03-02_opt, adaptg2wsat2011_2011-03-02_solved, adaptg2wsat2011_2011-03-02_PAR, INSTANCE_ID, sattime2011_2011-03-02_Time, sattime2011_2011-03-02_opt, sattime2011_2011-03-02_solved, sattime2011_2011-03-02_PAR, INSTANCE_ID, MPhaseSAT_M_2011-02-16_Time, MPhaseSAT_M_2011-02-16_opt, MPhaseSAT_M_2011-02-16_solved, MPhaseSAT_M_2011-02-16_PAR, INSTANCE_ID, march_rw_2011-03-02_Time, march_rw_2011-03-02_opt, march_rw_2011-03-02_solved, march_rw_2011-03-02_PAR, INSTANCE_ID, SAT09referencesolver:march_hi_hi_Time, SAT09referencesolver:march_hi_hi_opt, SAT09referencesolver:march_hi_hi_solved, SAT09referencesolver:march_hi_hi_PAR, INSTANCE_ID, SAT09referencesolver:gnovelty+2_2009-03-22_Time, SAT09referencesolver:gnovelty+2_2009-03-22_opt, SAT09referencesolver:gnovelty+2_2009-03-22_solved, SAT09referencesolver:gnovelty+2_2009-03-22_PAR,INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, CG_mean, CG_coeff_variation, CG_min, CG_max, CG_entropy, cluster_coeff_mean, cluster_coeff_coeff_variation, cluster_coeff_min, cluster_coeff_max, cluster_coeff_entropy, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q10, saps_FirstLocalMinStep_Q90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q10, gsat_FirstLocalMinStep_Q90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, CG_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, ls_saps_featuretime, ls_gsat_featuretime, lobjois_featuretime
1,5000.05,0,4999.91,999,1,5000.02,0,4999.91,999,1,5000.06,0,4999.91,999,1,5000.08,0,4999.92,999,1,5000.04,0,4999.92,999,1,5000.04,0,4999.91,999,1,5000.12,0,4999.94,999,1,5000.13,0,5000.03,999,1,5000.05,0,4999.91,999,1,300,25500,300,25500,0,0,0.011764706,0.315697479,0.679252322,0.142857143,1,1.012182036,0.023333333,0,0.023333333,0.023333333,0,0,0,0,0.023333333,0.042272165,0.020862745,0.026627451,4.35575046,0.031688143,0.024435223,0,0.108877722,2.092858653,0.001461307,0.149096613,0.000941176,0.002078431,3.074985585,0.062627451,0.01172549,0,0.01172549,0.01172549,-1,0,-1,0,-512,-1,0,-1,0,0,2,0,2,2,0,139.6333333,0.290562026,86,292,195,107,152,113,132,51.55659158,0.056423004,46.19444444,58.8390411,55.8968254,48.55555556,53.344,49.64457831,51.35714286,0.064499001,0.740997665,0.000194594,0.209524277,0.135450359,0.01226422,0.094109331,0.026518162,0.054853494,0.000101946,0.404092344,2.63E-05,0.000255155,0.00015933,5.42E-05,0.000120772,7.70E-05,9.42E-05,25.9589,0.184386,49.4247,0.123426,49,42,57,1.49611,0.253129,0.865632,0.0573573,26.4208,0.190446,49.4536,0.135744,49,42,57,1.09209,0.466974,0.867525,0.065879,0.608892508,0.70196571,0.08,0,0.02,60.23,0.89,2,1.41,2.06,2.08,2
2,1.26981,1,1.27049,999,2,39.7899,1,39.7911,999,2,8.08777,1,8.09069,999,2,54.2018,1,54.2005,999,2,315.205,1,315.202,999,2,58.3231,1,58.4519,999,2,5000.11,0,5000.03,999,2,5000.11,0,4999.92,999,2,14.8337,1,14.8347,999,2,5000,21000,4882,20880,0.024170422,0.005747126,0.233812261,0.493930396,0.588005674,0,1,0.708091465,0.000621899,0.063935432,0.000614502,0.00102417,0.15661345,0,0,0.96532567,0.000621899,0.292629009,9.58E-05,0.001819923,2.720324437,0.22539431,0.170166502,0,1,3.367790826,0.000305515,0.398124805,0,0.000862069,2.329122907,0.493821839,0.001257944,0.295696821,0.000191571,0.003783525,0.000946088,0.242196338,0.000335249,0.002490421,2.953765204,0.102213543,0.239568741,0.038461538,0.288888889,2.238626925,5,0,5,5,0,46.7254902,0.328000248,29,93,63,33,51,37,42,41.65236125,0.113317481,32.04651163,53.31818182,48.1954023,35.9245283,44.88461539,38.07142857,41.33333333,0.392528434,0.575022295,0.000158364,1,0.700959198,0.08807016,0.564810987,0.207924682,0.389687952,0.091508021,0.659534687,0.001626819,0.725471105,0.173141081,0.027353618,0.124667323,0.04634778,0.078387653,152.364,0.551956,1053.48,0.126442,1073,1043,1096,0.630663,0.377376,0.855439,0.0891473,90.1029,0.110837,1070.01,0.0232007,1071,1037,1104,0.0923822,0.231927,0.82903,0.0112399,0.248318439,0.350108257,0.07,0,0.07,0.42,2.01,1.99,0.22,2.09,2.47,2
3,29.2536,1,29.2529,999,3,612.611,1,612.607,999,3,174.105,1,174.105,999,3,5000.1,0,5000.02,999,3,89.3784,1,89.3817,999,3,5000.02,0,4999.91,999,3,5000.11,0,4999.94,999,3,5000.1,0,4999.94,999,3,218.56,1,218.557,999,3,1250,25000,1250,25000,0,0,0.05,0.373104,0.650040994,0.2,1,0.825906196,0.004,0,0.004,0.004,0,0,0,0,0.004,0.101466053,0.00244,0.00536,3.699480635,0.081707794,0.06065092,0,0.389473684,3.035433595,0.0007424,0.232578954,0.00032,0.00148,2.855397478,0.1856,0.013696448,0.08770163,0.00916,0.01776,-1,0,-1,0,-512,-1,0,-1,0,0,3,0,3,3,0,32.01098901,0.256039529,18,71,41,24,35,27,31,62.52038885,0.110455483,50.39393939,76.95454546,72.55737705,53.80952381,67.85714286,57.38235294,61.23076923,0.171127866,0.677199387,0.000738058,0.649468501,0.335635667,0.032558624,0.249763413,0.07458055,0.154209958,0.002789371,0.681659295,0.000296859,0.023238941,0.005131709,0.000999964,0.003525037,0.001547315,0.002314424,68.7036,0.325693,238.557,0.0832308,240,222,256,1.03399,0.274155,0.859966,0.081925,53.1366,0.131037,239.385,0.0499869,239,225,253,0.302126,0.335027,0.838671,0.0238532,0.470036036,0.579364503,0.06,0.01,0.01,60.01,2.01,1.98,0.47,2.11,2.18,2
4,5000.03,0,4999.81,999,4,5000.04,0,4999.91,999,4,5000.03,0,4999.91,999,4,5000.12,0,5000.22,999,4,5000.08,0,4999.92,999,4,4999.96,0,5000.01,999,4,5000.07,0,4999.94,999,4,5000.03,0,5000.03,999,4,5000.04,0,4999.91,999,4,300,25500,300,25500,0,0,0.011764706,0.313344538,0.679676151,0.142857143,1,1.005011485,0.023333333,0,0.023333333,0.023333333,0,0,0,0,0.023333333,0.042903364,0.019960784,0.02627451,4.356865242,0.029743282,0.022768917,0,0.105175292,2.038493711,0.001486928,0.158643568,0.000941176,0.002117647,3.163381944,0.06372549,0.01172549,0,0.01172549,0.01172549,-1,0,-1,0,-512,-1,0,-1,0,0,2,0,2,2,0,146.0689655,0.327355024,101,333,202,109,157,113,139,51.72829119,0.048218551,46.26530612,56.56551724,55.24796748,48.42176871,53.67613636,50.0049505,51.60283688,0.060609784,0.73946322,0.000238502,0.201023786,0.124790326,0.009513082,0.089932901,0.025012364,0.0519126,0.000101161,0.436520071,2.98E-05,0.000396454,0.000155495,5.64E-05,0.000121886,7.24E-05,9.13E-05,26.0234,0.181371,49.248,0.127961,49,42,57,1.5002,0.257727,0.864617,0.0595924,26.0815,0.161526,49.5815,0.114187,50,42,56,1.0908,0.402325,0.865452,0.0481765,0.614884259,0.708061797,0.08,0,0.01,60.16,0.7,1.99,1.39,2.08,2.06,2
5,39.518,1,39.5172,999,5,1759.93,1,1759.9,999,5,23.4724,1,23.4739,999,5,392.742,1,392.739,999,5,315.348,1,315.356,999,5,5000.04,0,4999.91,999,5,5000.04,0,4999.92,999,5,5000.04,0,4999.91,999,5,1551.13,1,1551.08,999,5,20000,84000,19496,83430,0.025851457,0.006832075,0.23368093,0.494907108,0.58854469,0,1,0.716581828,0.000155813,0.064704471,0.000153878,0.000307755,0.162061803,0,0,0.963418435,0.000155813,0.288911088,1.20E-05,0.000467458,2.704763201,0.227205642,0.170955538,0,1,3.36676794,7.65E-05,0.397661469,0,0.000311638,2.324321613,0.493107995,0.000315935,0.292561169,2.40E-05,0.00098286,0.000236468,0.246905445,4.79E-05,0.000659235,2.972514506,0.10212979,0.244898396,0.035714286,0.4,2.253376799,5.33,0.088220022,5,6,0.634178636,8.494949495,0.435462515,3,21,13,5,11,5,8,72.47410989,0.255295993,38.57142857,139.3333333,94.57142857,51.54545455,84.88888889,57,71.57142857,0.39317342,0.577235648,7.68E-06,1,0.704103368,0.085813884,0.568904165,0.207036077,0.385825423,0.092220555,0.641812495,0.00244127,0.769992822,0.174821733,0.028579197,0.123731582,0.047682422,0.079701681,2215.2,1.73313,3382.2,0.559121,4206,0,4216,1.32922,1.38851,2.59861,1.51524,376.375,0.0396112,4256.38,0.0120303,4245,4182,4317,0.100666,0.0233276,0.831997,0.00546583,0.235102161,0.27862854,0.32,0.02,1.09,1.87,2.01,1.99,1.13,2.09,2.25,2
6,39.185,1,39.1858,999,6,478.056,1,478.049,999,6,53.3679,1,53.3666,999,6,530.183,1,530.236,999,6,420.472,1,420.462,999,6,5000.05,0,5000.01,999,6,5000.07,0,4999.92,999,6,5000.06,0,4999.91,999,6,4274.78,1,4274.63,999,6,15000,63000,14599,62533,0.027467635,0.007468057,0.233460733,0.494619374,0.587415184,0,1,0.717229825,0.00020813,0.065651265,0.000205494,0.000410987,0.164596858,0,0,0.962867606,0.00020813,0.291140092,1.60E-05,0.000607679,2.719777304,0.226572047,0.171858874,0,1,3.372611702,0.000102099,0.398532444,0,0.000367806,2.328480107,0.492603905,0.000422026,0.29495845,3.20E-05,0.001247341,0.000316413,0.246289549,8.00E-05,0.000847552,2.975782392,0.101933392,0.244944036,0.037037037,0.333333333,2.253338941,5.397660819,0.090671618,5,6,0.672051804,11.78217822,0.439576932,5,31,18,7,14,8,10,59.84066246,0.239832489,32.625,102.1666667,76.78571429,42.33333333,69.71428571,48.125,60.23076923,0.39240384,0.580408206,4.82E-05,1,0.709809718,0.08581315,0.567013045,0.205861938,0.382751658,0.092073677,0.661078933,0.001391235,0.948274301,0.173637652,0.028044927,0.123629344,0.046830069,0.078592128,845.375,1.53515,2783.38,0.404663,3172.5,0,3231,0.833822,1.0427,1.00193,0.447984,259,0.0997496,3179.08,0.0135013,3185.5,3120,3206,0.0831049,0.348415,0.827347,0.00772878,0.230520267,0.302301503,0.23,0.01,0.62,1.36,2.01,2,0.8,2.09,2.32,2.03
7,73.6648,1,73.6655,999,7,948.226,1,948.204,999,7,30.5464,1,30.5504,999,7,363.954,1,363.944,999,7,286.209,1,286.202,999,7,5000.11,0,4999.92,999,7,5000.04,0,4999.92,999,7,5000.08,0,4999.91,999,7,5000.04,0,4999.91,999,7,30000,126000,29226,125173,0.026483268,0.006606856,0.233484857,0.494600463,0.587878606,0,1,0.716051263,0.000103952,0.064958279,0.000102648,0.000239513,0.163253845,0,0,0.962923314,0.000103952,0.289532559,7.99E-06,0.000295591,2.717090595,0.227316456,0.172875547,0,1,3.372925273,5.12E-05,0.396642188,0,0.000191735,2.330452647,0.495082805,0.000210847,0.293150632,1.60E-05,0.000639115,0.000157718,0.244109855,3.20E-05,0.000391458,2.967938172,0.101980269,0.245145322,0.04,0.4,2.247296831,5.844827586,0.061946903,5,6,0.431577221,5.182795699,0.447334851,2,14,8,2,7,4,5,83.04412792,0.282605019,39,154.5,117,55.6,94.5,65.6,78.88888889,0.394000348,0.579573904,2.66E-05,1,0.707851426,0.089254902,0.570333279,0.205382541,0.385509274,0.092881916,0.653989408,0.000776152,0.866538092,0.177001144,0.028444508,0.124222792,0.047415722,0.07982173,863,0.0508003,6419.5,0.00319434,6419.5,6405,6405,0.605573,0.0172882,0.852075,0.000294373,672.8,0.13953,6394.8,0.00919731,6397,6329,6428,0.16905,0.286231,0.836801,0.00636861,0.221373663,0.253373473,0.52,0.04,2.39,2.87,2.03,1.99,1.81,2.12,2.19,2.12
8,4.89226,1,4.89202,999,8,116.957,1,116.958,999,8,31.4842,1,31.4839,999,8,366.108,1,366.101,999,8,679.531,1,679.511,999,8,1722.55,1,1722.51,999,8,5000.03,0,4999.92,999,8,5000.05,0,4999.91,999,8,875.359,1,875.338,999,8,15000,63000,14607,62536,0.026904909,0.007419726,0.233577459,0.49387073,0.58771619,0,1,0.712447656,0.000207951,0.064276273,0.000205381,0.000410762,0.161409999,0,0,0.963429065,0.000207951,0.286297254,3.20E-05,0.000559678,2.705960229,0.228755711,0.169881478,0,1,3.364396927,0.00010133,0.401554119,0,0.000367788,2.326717239,0.489430088,0.000421536,0.289666846,6.40E-05,0.001135346,0.000314657,0.242575468,6.40E-05,0.000863503,2.955153577,0.102268307,0.240857609,0.037037037,0.4,2.242106678,5.08988764,0.056193916,5,6,0.302277787,11.17924528,0.332614725,5,21,17,7,13,8,11,64.8076556,0.200102686,36,109.1666667,79.30769231,49.5,74.18181818,56.4,63,0.394514598,0.572468792,0.000114685,1,0.701952873,0.089389282,0.569096374,0.208789589,0.391613974,0.092261171,0.652098238,0.001594669,0.713547545,0.174889862,0.028376843,0.123602149,0.047411416,0.079453629,783.125,1.34764,2786.38,0.404324,3187,0,3217,0.834068,0.957729,0.966079,0.350146,263.417,0.146979,3174.92,0.0134729,3167,3132,3221,0.0894041,0.553651,0.825916,0.00825008,0.230375713,0.290568055,0.23,0.02,0.61,1.34,2.01,2.01,0.78,2.08,2.31,2
9,222.412,1,222.405,999,9,5000.07,0,5000.01,999,9,624.387,1,624.375,999,9,5000.09,0,4999.92,999,9,5000.06,0,4999.92,999,9,5000.1,0,4999.91,999,9,5000.04,0,4999.92,999,9,5000.04,0,4999.81,999,9,5000.06,0,4999.91,999,9,30000,126000,29270,125231,0.024940212,0.006140652,0.233728071,0.496408504,0.586534943,0,1,0.7088755,0.000103689,0.062192754,0.000102494,0.000204988,0.152843407,0,0,0.965942937,0.000103689,0.289156402,7.99E-06,0.000279484,2.713275336,0.228763497,0.171056216,0,1,3.369146763,5.09E-05,0.400084433,0,0.000175675,2.332488841,0.493384226,0.000210069,0.29275122,1.60E-05,0.000590908,0.000157255,0.244293568,3.99E-05,0.000495085,2.965937619,0.102218715,0.244769677,0.031746032,0.333333333,2.25079937,5.732142857,0.077256055,5,6,0.581115838,5.266666667,0.535399645,1,14,9,2,7,3,5,88.47525083,0.373703374,42.875,233,134,53.25,99.5,67.07692308,83.6,0.393732033,0.579306661,5.60E-05,1,0.707629556,0.085838393,0.571784257,0.203872963,0.386833288,0.092763737,0.658074364,0.001965871,0.961422983,0.175651237,0.028092587,0.124524128,0.047379078,0.079194152,919,0.241601,6320,0.00447536,6320,6300,6300,0.644663,0.422155,0.847298,0.0157649,731.8,0.242235,6360.4,0.0125348,6371,6236,6396,0.206806,0.646572,0.839429,0.0158741,0.219437259,0.264065345,0.52,0.03,2.46,2.89,2.03,2,1.85,2.11,2.18,2.01
10,5000.06,0,4999.91,999,10,2262.48,1,2262.42,999,10,208.214,1,208.223,999,10,5000.1,0,5000.02,999,10,361.076,1,361.069,999,10,5000.08,0,4999.92,999,10,5000.07,0,4999.93,999,10,5000.09,0,4999.91,999,10,5000.06,0,4999.91,999,10,49999,210000,48829,208731,0.023961171,0.006079595,0.233932669,0.495591569,0.587039281,0,1,0.705283821,6.21E-05,0.062338157,6.14E-05,0.000143357,0.15127007,0,0,0.966588576,6.21E-05,0.287685696,9.58E-06,0.000182052,2.706259038,0.229328952,0.171579637,0,1,3.37285208,3.05E-05,0.398549093,0,0.000105399,2.328065177,0.493285616,0.000125902,0.291151171,1.92E-05,0.000388059,9.41E-05,0.243673324,1.92E-05,0.000306615,2.959964075,0.102441944,0.243961804,0.030769231,0.4,2.24920213,6,0,6,6,0,2.744186047,0.701139959,0,11,5,1,4,1,2,99.20168462,0.480821487,0,311,156,55.5,122.5,71.25,91,0.394293141,0.57909953,2.09E-06,1,0.707183198,0.086117284,0.569733185,0.204243707,0.388543995,0.093003987,0.650310892,0.001311632,0.768547097,0.175855916,0.028296872,0.125505712,0.047380454,0.079695479,2712,0,10514,0,10514,10514,10514,1.28439,0,0.892621,0,1934,0.536464,10562.7,0.0081668,10540,10490,10540,0.531456,0.937714,0.865477,0.0444493,0.227726692,0.25110928,0.98,0.05,6.68,5.12,2.03,2,2.9,2.2,2.21,2.17
