INSTANCE_ID, SAT09referencesolver:SATzilla2009_C_2009-03-22_Time, SAT09referencesolver:SATzilla2009_C_2009-03-22_opt, SAT09referencesolver:SATzilla2009_C_2009-03-22_solved, SAT09referencesolver:SATzilla2009_C_2009-03-22_PAR, INSTANCE_ID, MPhaseSAT_2011-02-15_Time, MPhaseSAT_2011-02-15_opt, MPhaseSAT_2011-02-15_solved, MPhaseSAT_2011-02-15_PAR, INSTANCE_ID, ppfolio_par_Time, ppfolio_par_opt, ppfolio_par_solved, ppfolio_par_PAR, INSTANCE_ID, Sol_2011-04-04_Time, Sol_2011-04-04_opt, Sol_2011-04-04_solved, Sol_2011-04-04_PAR, INSTANCE_ID, ppfolio_seq_Time, ppfolio_seq_opt, ppfolio_seq_solved, ppfolio_seq_PAR, INSTANCE_ID, QuteRSat_2011-05-12\(fixed\)_Time, QuteRSat_2011-05-12\(fixed\)_opt, QuteRSat_2011-05-12\(fixed\)_solved, QuteRSat_2011-05-12\(fixed\)_PAR, INSTANCE_ID, CryptoMiniSat_Strange-Night2-st\(fixed\)_Time, CryptoMiniSat_Strange-Night2-st\(fixed\)_opt, CryptoMiniSat_Strange-Night2-st\(fixed\)_solved, CryptoMiniSat_Strange-Night2-st\(fixed\)_PAR, INSTANCE_ID, Coach-SAT-Portfolio_2011-03-18_Time, Coach-SAT-Portfolio_2011-03-18_opt, Coach-SAT-Portfolio_2011-03-18_solved, Coach-SAT-Portfolio_2011-03-18_PAR, INSTANCE_ID, PicoSAT_941_Time, PicoSAT_941_opt, PicoSAT_941_solved, PicoSAT_941_PAR, INSTANCE_ID, glucose_2_Time, glucose_2_opt, glucose_2_solved, glucose_2_PAR, INSTANCE_ID, CryptoMiniSat_Strange-Night-2-mt\(fixed\)_Time, CryptoMiniSat_Strange-Night-2-mt\(fixed\)_opt, CryptoMiniSat_Strange-Night-2-mt\(fixed\)_solved, CryptoMiniSat_Strange-Night-2-mt\(fixed\)_PAR, INSTANCE_ID, clasp_2.0-R4092-crafted_Time, clasp_2.0-R4092-crafted_opt, clasp_2.0-R4092-crafted_solved, clasp_2.0-R4092-crafted_PAR, INSTANCE_ID, SAT07referencesolver:minisat_SAT2007_Time, SAT07referencesolver:minisat_SAT2007_opt, SAT07referencesolver:minisat_SAT2007_solved, SAT07referencesolver:minisat_SAT2007_PAR, INSTANCE_ID, Plingeling_587f\(fixed\)_Time, Plingeling_587f\(fixed\)_opt, Plingeling_587f\(fixed\)_solved, Plingeling_587f\(fixed\)_PAR, INSTANCE_ID, jMiniSat_2011_Time, jMiniSat_2011_opt, jMiniSat_2011_solved, jMiniSat_2011_PAR, INSTANCE_ID, claspmt_2.0-R4095-patched\(fixed\)_Time, claspmt_2.0-R4095-patched\(fixed\)_opt, claspmt_2.0-R4095-patched\(fixed\)_solved, claspmt_2.0-R4095-patched\(fixed\)_PAR, INSTANCE_ID, claspmt_2.0-R4095_Time, claspmt_2.0-R4095_opt, claspmt_2.0-R4095_solved, claspmt_2.0-R4095_PAR, INSTANCE_ID, RestartSAT_B95_Time, RestartSAT_B95_opt, RestartSAT_B95_solved, RestartSAT_B95_PAR, INSTANCE_ID, SAT09referencesolver:clasp_1.2.0-SAT09-32_Time, SAT09referencesolver:clasp_1.2.0-SAT09-32_opt, SAT09referencesolver:clasp_1.2.0-SAT09-32_solved, SAT09referencesolver:clasp_1.2.0-SAT09-32_PAR, INSTANCE_ID, SArTagnan_2011-05-15\(fixed\)_Time, SArTagnan_2011-05-15\(fixed\)_opt, SArTagnan_2011-05-15\(fixed\)_solved, SArTagnan_2011-05-15\(fixed\)_PAR, INSTANCE_ID, priss_1.0_Time, priss_1.0_opt, priss_1.0_solved, priss_1.0_PAR, INSTANCE_ID, sathys_2011-04-01_Time, sathys_2011-04-01_opt, sathys_2011-04-01_solved, sathys_2011-04-01_PAR, INSTANCE_ID, SApperloT2010_2011-05-15\(fixed\)_Time, SApperloT2010_2011-05-15\(fixed\)_opt, SApperloT2010_2011-05-15\(fixed\)_solved, SApperloT2010_2011-05-15\(fixed\)_PAR, INSTANCE_ID, sattime+_2011-03-02_Time, sattime+_2011-03-02_opt, sattime+_2011-03-02_solved, sattime+_2011-03-02_PAR, INSTANCE_ID, sattime_2011-03-02_Time, sattime_2011-03-02_opt, sattime_2011-03-02_solved, sattime_2011-03-02_PAR
1, 0.006998, 1, 0.00797002, 999, 1, 0.005998, 1, 0.020586, 999, 1, 0.084986, 1, 0.034681, 999, 1, 5000.13, 0, 4914.23, 999, 1, 5000.02, 0, 4999.91, 999, 1, 5000.12, 0, 5000.04, 999, 1, 5000.05, 0, 4999.92, 999, 1, 155.996, 1, 156.046, 999, 1, 5000.1, 0, 5000.12, 999, 1, 5000.07, 0, 4999.92, 999, 1, 40000.4, 0, 5010.98, 999, 1, 5000.06, 0, 5000.12, 999, 1, 5000.02, 0, 4999.91, 999, 1, 40000.9, 0, 5009.47, 999, 1, 3471.53, 1, 3470.92, 999, 1, 37733.2, 1, 4726.7, 999, 1, 3220.88, 1, 403.192, 999, 1, 505.182, 1, 505.17, 999, 1, 5000.02, 0, 4999.91, 999, 1, 40000.4, 0, 5011.34, 999, 1, 20399.8, 0, 5100.02, 999, 1, 5000.05, 0, 5000.03, 999, 1, 5000.17, 0, 5000.04, 999, 1, 5000.11, 0, 5000.01, 999, 1, 5000.08, 0, 4999.92, 999
2, 1760.55, 1, 1760.52, 999, 2, 5000.1, 0, 5000.02, 999, 2, 1617.25, 1, 202.436, 999, 2, 5000.09, 0, 4973.75, 999, 2, 4984.03, 1, 4983.86, 999, 2, 1943.87, 1, 1943.8, 999, 2, 3294.03, 1, 3293.93, 999, 2, 3646.83, 1, 3646.88, 999, 2, 5000.05, 0, 4999.82, 999, 2, 2395.21, 1, 2395.2, 999, 2, 23561.3, 1, 2962.28, 999, 2, 153.203, 1, 153.203, 999, 2, 1594.24, 1, 1594.21, 999, 2, 252.496, 1, 31.9528, 999, 2, 5000.1, 0, 4999.13, 999, 2, 728.202, 1, 91.2305, 999, 2, 4816.21, 1, 689.33, 999, 2, 3357.33, 1, 3357.22, 999, 2, 1648.23, 1, 1648.17, 999, 2, 23461.2, 1, 2938.61, 999, 2, 5977.81, 1, 1494.47, 999, 2, 5000.11, 0, 5000.02, 999, 2, 5000.11, 0, 4999.99, 999, 2, 5000.09, 0, 4999.91, 999, 2, 5000.11, 0, 5000.12, 999
3, 316.197, 1, 316.192, 999, 3, 2186.14, 1, 2186.11, 999, 3, 3174.58, 1, 397.093, 999, 3, 5000.11, 0, 4970.25, 999, 3, 1189.06, 1, 1189.02, 999, 3, 188.834, 1, 188.83, 999, 3, 655.927, 1, 655.922, 999, 3, 1088.56, 1, 1089.62, 999, 3, 5000.04, 0, 4999.82, 999, 3, 64.5702, 1, 64.5733, 999, 3, 541.664, 1, 67.8503, 999, 3, 394.413, 1, 394.407, 999, 3, 278.078, 1, 278.072, 999, 3, 1388.72, 1, 174.382, 999, 3, 5000.05, 0, 4999.15, 999, 3, 685.204, 1, 85.839, 999, 3, 146.194, 1, 18.3285, 999, 3, 90.5702, 1, 90.5683, 999, 3, 938.346, 1, 938.314, 999, 3, 7166.1, 1, 897.545, 999, 3, 3057.75, 1, 764.476, 999, 3, 5000.09, 0, 4999.93, 999, 3, 5000.18, 0, 5000.0, 999, 3, 5000.08, 0, 4999.91, 999, 3, 5000.03, 0, 4999.92, 999
4, 2567.93, 1, 2562.98, 999, 4, 5000.1, 0, 5000.02, 999, 4, 15390.8, 1, 1925.18, 999, 4, 5000.07, 0, 4971.25, 999, 4, 5000.02, 0, 4999.91, 999, 4, 135.159, 1, 135.156, 999, 4, 855.848, 1, 855.845, 999, 4, 1278.89, 1, 1279.65, 999, 4, 5000.06, 0, 5000.02, 999, 4, 1868.42, 1, 1868.37, 999, 4, 487.541, 1, 62.8791, 999, 4, 3892.0, 1, 3891.9, 999, 4, 2332.63, 1, 2332.58, 999, 4, 2476.94, 1, 310.937, 999, 4, 5000.04, 0, 4999.24, 999, 4, 1353.33, 1, 169.583, 999, 4, 4053.94, 1, 507.788, 999, 4, 264.845, 1, 264.839, 999, 4, 5000.1, 0, 4999.91, 999, 4, 40000.7, 0, 5009.09, 999, 4, 20400.5, 0, 5100.02, 999, 4, 5000.01, 0, 4999.93, 999, 4, 5000.2, 0, 5000.01, 999, 4, 5000.09, 0, 4999.91, 999, 4, 5000.12, 0, 5000.02, 999
5, 1452.1, 1, 1452.06, 999, 5, 5000.1, 0, 5000.02, 999, 5, 4787.55, 1, 599.035, 999, 5, 5000.11, 0, 4967.15, 999, 5, 4006.29, 1, 4006.22, 999, 5, 2001.55, 1, 2001.48, 999, 5, 668.36, 1, 668.362, 999, 5, 1140.84, 1, 1140.99, 999, 5, 5000.11, 0, 5000.12, 999, 5, 3569.42, 1, 3569.36, 999, 5, 2418.08, 1, 305.09, 999, 5, 173.21, 1, 173.21, 999, 5, 1213.55, 1, 1213.51, 999, 5, 7264.49, 1, 911.376, 999, 5, 5000.07, 0, 4999.23, 999, 5, 1508.62, 1, 188.908, 999, 5, 657.969, 1, 82.433, 999, 5, 1009.15, 1, 1009.16, 999, 5, 4375.33, 1, 4375.22, 999, 5, 6173.5, 1, 773.454, 999, 5, 20400.3, 0, 5100.02, 999, 5, 5000.01, 0, 4999.93, 999, 5, 5000.15, 0, 5000.1, 999, 5, 5000.03, 0, 4999.91, 999, 5, 5000.05, 0, 5000.02, 999
6, 1545.61, 1, 1545.56, 999, 6, 5000.08, 0, 5000.02, 999, 6, 5856.7, 1, 732.733, 999, 6, 5000.07, 0, 4966.45, 999, 6, 5000.02, 0, 4999.81, 999, 6, 4204.52, 1, 4204.37, 999, 6, 155.124, 1, 155.132, 999, 6, 584.24, 1, 584.319, 999, 6, 5000.06, 0, 4999.92, 999, 6, 2542.63, 1, 2542.64, 999, 6, 1108.59, 1, 138.915, 999, 6, 3494.53, 1, 3494.57, 999, 6, 1406.36, 1, 1406.31, 999, 6, 2374.2, 1, 298.214, 999, 6, 5000.08, 0, 4999.23, 999, 6, 7833.37, 1, 981.773, 999, 6, 1311.35, 1, 164.214, 999, 6, 585.98, 1, 586.022, 999, 6, 4047.86, 1, 4047.76, 999, 6, 16712.8, 1, 2093.42, 999, 6, 20400.5, 0, 5100.02, 999, 6, 5000.07, 0, 4999.93, 999, 6, 5000.15, 0, 5000.0, 999, 6, 5000.05, 0, 4999.91, 999, 6, 5000.06, 0, 4999.92, 999
7, 4998.78, 0, 4998.66, 999, 7, 5000.06, 0, 5000.32, 999, 7, 931.72, 1, 116.927, 999, 7, 5000.18, 0, 4968.67, 999, 7, 5000.01, 0, 4999.81, 999, 7, 567.829, 1, 567.809, 999, 7, 293.097, 1, 293.094, 999, 7, 127.92, 1, 128.063, 999, 7, 5000.11, 0, 5000.02, 999, 7, 514.556, 1, 514.548, 999, 7, 2489.19, 1, 313.978, 999, 7, 402.362, 1, 402.355, 999, 7, 5000.09, 0, 5000.01, 999, 7, 924.489, 1, 116.318, 999, 7, 5000.07, 0, 4999.33, 999, 7, 380.551, 1, 47.6805, 999, 7, 438.319, 1, 62.7818, 999, 7, 669.988, 1, 669.977, 999, 7, 3112.66, 1, 3112.59, 999, 7, 7863.9, 1, 985.167, 999, 7, 21.6647, 1, 5.42732, 999, 7, 5000.02, 0, 4999.93, 999, 7, 5000.13, 0, 4999.99, 999, 7, 5000.1, 0, 4999.91, 999, 7, 5000.07, 0, 4999.92, 999
8, 4935.21, 1, 4935.12, 999, 8, 4220.26, 1, 4220.17, 999, 8, 2563.07, 1, 320.606, 999, 8, 5000.13, 0, 4972.25, 999, 8, 1032.94, 1, 1032.92, 999, 8, 543.832, 1, 543.814, 999, 8, 661.551, 1, 661.555, 999, 8, 1091.96, 1, 1092.08, 999, 8, 5000.03, 0, 4999.92, 999, 8, 1923.0, 1, 1922.93, 999, 8, 1144.29, 1, 143.344, 999, 8, 3962.38, 1, 3962.29, 999, 8, 4060.58, 1, 4060.46, 999, 8, 2052.34, 1, 257.517, 999, 8, 5000.09, 0, 4999.13, 999, 8, 621.562, 1, 77.9003, 999, 8, 293.84, 1, 36.8258, 999, 8, 864.317, 1, 864.295, 999, 8, 2673.69, 1, 2673.63, 999, 8, 3470.66, 1, 434.855, 999, 8, 20400.4, 0, 5100.02, 999, 8, 5000.08, 0, 5000.02, 999, 8, 5000.19, 0, 5000.11, 999, 8, 5000.03, 0, 4999.91, 999, 8, 5000.03, 0, 4999.92, 999
9, 59.5809, 2, 59.5864, 999, 9, 59.7409, 2, 59.7405, 999, 9, 132.152, 2, 16.5434, 999, 9, 62.1616, 2, 60.5436, 999, 9, 45.3111, 2, 45.3086, 999, 9, 30.8423, 2, 30.842, 999, 9, 11.7022, 2, 11.7028, 999, 9, 24.84, 2, 24.9476, 999, 9, 1327.41, 2, 1327.38, 999, 9, 77.2313, 2, 77.2305, 999, 9, 38.3832, 2, 4.82344, 999, 9, 19.57, 2, 19.5693, 999, 9, 36.4325, 2, 36.4357, 999, 9, 925.561, 2, 116.428, 999, 9, 270.879, 2, 270.469, 999, 9, 43.1274, 2, 5.44897, 999, 9, 43.3594, 2, 6.25692, 999, 9, 38.5181, 2, 38.5179, 999, 9, 21.2278, 2, 21.2274, 999, 9, 54.4537, 2, 6.84339, 999, 9, 117.353, 2, 29.375, 999, 9, 28.5457, 2, 28.5465, 999, 9, 135.506, 2, 135.505, 999, 9, 5000.06, 0, 4999.91, 999, 9, 5000.08, 0, 4999.92, 999
10, 249.627, 2, 249.625, 999, 10, 3731.86, 2, 3731.76, 999, 10, 1119.3, 2, 140.025, 999, 10, 1187.53, 2, 1171.89, 999, 10, 459.633, 2, 459.636, 999, 10, 515.338, 2, 515.342, 999, 10, 1171.98, 2, 1171.97, 999, 10, 597.83, 2, 597.933, 999, 10, 4900.91, 2, 4900.68, 999, 10, 623.777, 2, 623.765, 999, 10, 1477.43, 2, 185.061, 999, 10, 154.832, 2, 154.829, 999, 10, 170.271, 2, 170.282, 999, 10, 7268.01, 2, 911.962, 999, 10, 5000.03, 0, 4998.53, 999, 10, 169.064, 2, 21.2228, 999, 10, 194.998, 2, 27.9511, 999, 10, 4400.09, 2, 4399.92, 999, 10, 133.148, 2, 133.145, 999, 10, 9406.44, 2, 1176.69, 999, 10, 2385.39, 2, 596.388, 999, 10, 5000.02, 0, 4999.93, 999, 10, 418.25, 2, 418.266, 999, 10, 5000.02, 0, 4999.91, 999, 10, 5000.12, 0, 5000.02, 999
