12:14:22.030 [main] INFO  c.u.c.b.a.l.ComplexLoggingOptions - Logging to: /Users/Chris/Documents/workspace/hydra/build/install/hydra/example_scenarios/branin/hydra-output/Hydra_Branin/Hydra-1/log-run973912327.txt
12:14:22.041 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of Algorithm Execution & Abstraction Toolkit is v2.10.00-development-21 (24a421f3b6ad) 
12:14:22.041 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of Java Runtime Environment is Java HotSpot(TM) 64-Bit Server VM (1.7.0_55) 
12:14:22.041 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of MySQL Database Target Algorithm Evaluator is v0.92.00b-development-4 (e19033ddbed8) 
12:14:22.041 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of OS is Mac OS X 10.8.5 (x86_64) 
12:14:22.041 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of Random Forest Library is v1.10.01-development-6 (415191bb90cf) 
12:14:22.042 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of SMAC is v2.10.02-development-36 (5c2edb3dd8f6) 
12:14:22.042 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of zilla is ERROR LOADING VERSION INFORMATION 
12:14:22.042 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Parsing (default) options from file: /Users/Chris/.aeatk/ipc-tae.opt 
12:14:22.042 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Parsing (default) options from file: /Users/Chris/.aeatk/mysqldbtae.opt 
12:14:22.042 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Parsing (default) options from file: /Users/Chris/.aeatk/cli-tae.opt 
12:14:22.042 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Logging to /Users/Chris/Documents/workspace/hydra/build/install/hydra/example_scenarios/branin/hydra-output/Hydra_Branin/Hydra-1.
12:14:22.042 [main] INFO  c.u.c.b.a.m.j.JCommanderHelper - Call String:
