Config3039064,Config4312734
160.2098,113.1697
144.7402,100.1568
130.0907,87.92
116.3026,76.5005
103.4171,65.9397
91.4733,56.2765
80.5045,47.5443
70.5361,39.7684
61.5829,32.9637
53.6474,27.1327
46.7185,22.2643
40.7708,18.333
35.764,15.2987
31.6439,13.1069
28.343,11.6904
25.7822,10.9699
23.873,10.857
22.5197,11.256
21.6223,12.0669
21.0797,13.1885
20.7922,14.5211
20.665,15.9701
20.6109,17.4482
20.5528,18.8781
20.4257,20.1952
20.179,21.3485
19.7771,22.3027
19.2002,23.0378
18.4444,23.55
17.5211,23.8506
16.4556,23.965
15.2854,23.9307
14.0585,23.7957
12.8302,23.6152
11.6604,23.4493
10.6111,23.3598
9.7427,23.4071
9.1114,23.6475
8.7661,24.13
8.7467,24.8942
9.081,25.9681
9.7838,27.3666
10.8559,29.0903
12.2833,31.1252
14.0376,33.4431
16.0768,36.0018
18.3465,38.747
20.782,41.614
23.3105,44.5299
25.8534,47.4162
28.33,50.1921
30.6596,52.7771
32.7652,55.0941
34.5764,57.0725
36.0314,58.6509
37.0804,59.7791
37.6867,60.4206
37.8283,60.5534
37.4991,60.1714
36.7088,59.2842
35.4825,57.917
33.8601,56.1096
31.8944,53.9151
29.6496,51.3972
27.1982,48.6288
24.6188,45.6884
21.993,42.6576
19.4024,39.6179
16.9254,36.6478
14.6344,33.8197
12.5934,31.1975
10.8557,28.8346
9.4617,26.7714
8.4383,25.0348
7.7977,23.6369
7.5377,22.5756
