Config3039064,Config4312734,Config5592483,Config6878999
160.2098,113.1697,90.8027,208.1562
144.7402,100.1568,79.1647,190.5641
130.0907,87.92,68.2783,173.8303
116.3026,76.5005,58.1845,157.9957
103.4171,65.9397,48.9248,143.1019
91.4733,56.2765,40.538,129.1878
80.5045,47.5443,33.0575,116.2867
70.5361,39.7684,26.5088,104.424
61.5829,32.9637,20.9066,93.6146
53.6474,27.1327,16.2534,83.8609
46.7185,22.2643,12.5382,75.152
40.7708,18.333,9.7355,67.4621
35.764,15.2987,7.8051,60.7513
31.6439,13.1069,6.6927,54.9652
28.343,11.6904,6.3308,50.0363
25.7822,10.9699,6.6403,45.8856
23.873,10.857,7.5328,42.4245
22.5197,11.256,8.9125,39.5573
21.6223,12.0669,10.6794,37.1841
21.0797,13.1885,12.7324,35.2036
20.7922,14.5211,14.9719,33.5164
20.665,15.9701,17.3031,32.0275
20.6109,17.4482,19.6386,30.6497
20.5528,18.8781,21.9015,29.3059
20.4257,20.1952,24.0267,27.9312
20.179,21.3485,25.9637,26.475
19.7771,22.3027,27.6768,24.9015
19.2002,23.0378,29.1462,23.1911
18.4444,23.55,30.3681,21.3399
17.5211,23.8506,31.3537,19.3591
16.4556,23.965,32.1285,17.2742
15.2854,23.9307,32.73,15.1227
14.0585,23.7957,33.206,12.9525
12.8302,23.6152,33.612,10.8188
11.6604,23.4493,34.0079,8.7819
10.6111,23.3598,34.4555,6.9034
9.7427,23.4071,35.0154,5.2438
9.1114,23.6475,35.7437,3.8593
8.7661,24.13,36.6894,2.799
8.7467,24.8942,37.8923,2.1025
9.081,25.9681,39.3802,1.7977
9.7838,27.3666,41.168,1.8996
10.8559,29.0903,43.2564,2.4087
12.2833,31.1252,45.6314,3.3112
14.0376,33.4431,48.2646,4.5786
16.0768,36.0018,51.1141,6.169
18.3465,38.747,54.1254,8.0279
20.782,41.614,57.2339,10.0907
23.3105,44.5299,60.3666,12.2844
25.8534,47.4162,63.4452,14.5307
28.33,50.1921,66.3887,16.7485
30.6596,52.7771,69.1165,18.8575
32.7652,55.0941,71.5518,20.7806
34.5764,57.0725,73.6239,22.4472
36.0314,58.6509,75.2712,23.7958
37.0804,59.7791,76.4438,24.7763
37.6867,60.4206,77.105,25.3522
37.8283,60.5534,77.2329,25.5014
37.4991,60.1714,76.8213,25.2179
36.7088,59.2842,75.8799,24.5112
35.4825,57.917,74.4338,23.4066
33.8601,56.1096,72.523,21.944
31.8944,53.9151,70.2003,20.1761
29.6496,51.3972,67.5297,18.1671
27.1982,48.6288,64.5838,15.9895
24.6188,45.6884,61.4414,13.7221
21.993,42.6576,58.1839,11.4463
19.4024,39.6179,54.8928,9.2436
16.9254,36.6478,51.6467,7.1926
14.6344,33.8197,48.5179,5.3657
12.5934,31.1975,45.5706,3.8268
10.8557,28.8346,42.8577,2.6292
9.4617,26.7714,40.42,1.8134
8.4383,25.0348,38.2841,1.4062
7.7977,23.6369,36.4625,1.4198
7.5377,22.5756,34.9527,1.8521
