Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,72,27.7635,0,10.0,-1,0.001,1.0,1,27.7635,0,0.001,SAT,,0.03,
2,1,19,12.5951,0,10.0,-1,0.001,1.0,1,12.5951,1,0.002,SAT,,0.029,
3,2,19,42.2132,0,10.0,-1,0.001,1.0,1,42.2132,1,0.003,SAT,,0.029,
4,1,6,51.7922,0,10.0,-1,0.001,1.0,1,51.7922,1,0.004,SAT,,0.028,
5,3,19,32.1794,0,10.0,-1,0.001,1.0,1,32.1794,1,0.005,SAT,,0.03,
6,1,64,50.0395,0,10.0,-1,0.001,1.0,1,50.0395,1,0.006,SAT,,0.029,
7,4,64,68.7637,0,10.0,-1,0.001,1.0,1,68.7637,1,0.007,SAT,,0.029,
8,1,33,23.7074,0,10.0,-1,0.001,1.0,1,23.7074,1,0.008,SAT,,0.03,
9,5,72,42.2767,0,10.0,-1,0.001,1.0,1,42.2767,1,0.009000000000000001,SAT,,0.029,
10,1,9,29.9268,0,10.0,-1,0.001,1.0,1,29.9268,1,0.010000000000000002,SAT,,0.029,
11,6,33,11.9782,0,10.0,-1,0.001,1.0,1,11.9782,1,0.011000000000000003,SAT,,0.029,
12,6,64,16.7008,0,10.0,-1,0.001,1.0,1,16.7008,1,0.012000000000000004,SAT,,0.029,
13,6,9,90.3584,0,10.0,-1,0.001,1.0,1,90.3584,1,0.013000000000000005,SAT,,0.029,
14,1,58,60.4265,0,10.0,-1,0.001,1.0,1,60.4265,2,0.014000000000000005,SAT,,0.028,
15,7,9,27.9773,0,10.0,-1,0.001,1.0,1,27.9773,2,0.015000000000000006,SAT,,0.029,
16,7,64,52.324,0,10.0,-1,0.001,1.0,1,52.324,2,0.016000000000000007,SAT,,0.028,
17,7,33,25.0162,0,10.0,-1,0.001,1.0,1,25.0162,2,0.017000000000000008,SAT,,0.028,
18,1,21,15.2368,0,10.0,-1,0.001,1.0,1,15.2368,2,0.01800000000000001,SAT,,0.029,
19,3,9,0.7287,0,10.0,-1,0.001,1.0,1,0.7287,2,0.01900000000000001,SAT,,0.029,
20,3,64,148.0972,0,10.0,-1,0.001,1.0,1,148.0972,2,0.02000000000000001,SAT,,0.029,
21,3,58,161.3565,0,10.0,-1,0.001,1.0,1,161.3565,2,0.02100000000000001,SAT,,0.03,
22,1,57,60.5514,0,10.0,-1,0.001,1.0,1,60.5514,2,0.022000000000000013,SAT,,0.029,
23,8,19,12.3066,0,10.0,-1,0.001,1.0,1,12.3066,2,0.023000000000000013,SAT,,0.028,
24,8,58,62.4991,0,10.0,-1,0.001,1.0,1,62.4991,2,0.024000000000000014,SAT,,0.029,
25,8,57,62.6263,0,10.0,-1,0.001,1.0,1,62.6263,2,0.025000000000000015,SAT,,0.029,
26,1,51,51.5134,0,10.0,-1,0.001,1.0,1,51.5134,3,0.026000000000000016,SAT,,0.029,
27,9,51,69.4868,0,10.0,-1,0.001,1.0,1,69.4868,3,0.027000000000000017,SAT,,0.029,
28,1,44,32.2511,0,10.0,-1,0.001,1.0,1,32.2511,3,0.028000000000000018,SAT,,0.028,
29,10,51,45.77,0,10.0,-1,0.001,1.0,1,45.77,3,0.02900000000000002,SAT,,0.029,
30,10,6,58.6717,0,10.0,-1,0.001,1.0,1,58.6717,3,0.03000000000000002,SAT,,0.028,
31,10,72,22.9984,0,10.0,-1,0.001,1.0,1,22.9984,3,0.03100000000000002,SAT,,0.03,
32,10,33,20.6046,0,10.0,-1,0.001,1.0,1,20.6046,3,0.03200000000000002,SAT,,0.029,
33,10,58,54.5235,0,10.0,-1,0.001,1.0,1,54.5235,3,0.03300000000000002,SAT,,0.028,
34,10,64,44.3863,0,10.0,-1,0.001,1.0,1,44.3863,3,0.03400000000000002,SAT,,0.029,
35,10,44,27.1529,0,10.0,-1,0.001,1.0,1,27.1529,3,0.035000000000000024,SAT,,0.03,
36,10,9,35.3404,0,10.0,-1,0.001,1.0,1,35.3404,3,0.036000000000000025,SAT,,0.029,
37,10,57,54.6414,0,10.0,-1,0.001,1.0,1,54.6414,3,0.037000000000000026,SAT,,0.03,
38,10,21,15.6784,0,10.0,-1,0.001,1.0,1,15.6784,3,0.03800000000000003,SAT,,0.029,
39,10,19,13.7663,0,10.0,-1,0.001,1.0,1,13.7663,3,0.03900000000000003,SAT,,0.029,
40,10,37,19.5327,0,10.0,-1,0.001,1.0,1,19.5327,4,0.04000000000000003,SAT,,0.029,
41,11,9,17.9249,0,10.0,-1,0.001,1.0,1,17.9249,4,0.04100000000000003,SAT,,0.029,
42,11,57,78.2157,0,10.0,-1,0.001,1.0,1,78.2157,4,0.04200000000000003,SAT,,0.031,
43,11,37,36.0745,0,10.0,-1,0.001,1.0,1,36.0745,4,0.04300000000000003,SAT,,0.029,
44,10,17,12.9391,0,10.0,-1,0.001,1.0,1,12.9391,4,0.04400000000000003,SAT,,0.029,
45,12,37,5.7664,0,10.0,-1,0.001,1.0,1,5.7664,4,0.04500000000000003,SAT,,0.03,
46,12,19,54.5085,0,10.0,-1,0.001,1.0,1,54.5085,4,0.046000000000000034,SAT,,0.029,
47,12,6,159.9684,0,10.0,-1,0.001,1.0,1,159.9684,4,0.047000000000000035,SAT,,0.028,
48,10,11,24.6695,0,10.0,-1,0.001,1.0,1,24.6695,4,0.048000000000000036,SAT,,0.028,
49,13,9,17.744,0,10.0,-1,0.001,1.0,1,17.744,4,0.04900000000000004,SAT,,0.029,
50,13,11,10.4738,0,10.0,-1,0.001,1.0,1,10.4738,4,0.05000000000000004,SAT,,0.029,
51,13,19,11.7202,0,10.0,-1,0.001,1.0,1,11.7202,4,0.05100000000000004,SAT,,0.029,
52,13,17,8.0735,0,10.0,-1,0.001,1.0,1,8.0735,4,0.05200000000000004,SAT,,0.03,
53,13,33,34.2249,0,10.0,-1,0.001,1.0,1,34.2249,4,0.05300000000000004,SAT,,0.029,
