Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,0,0.001,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
2,1,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,1,0.002,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
3,2,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,1,0.003,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
4,2,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,1,0.004,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
5,1,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,1,0.005,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.03,
6,3,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,1,0.006,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
7,3,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,1,0.007,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.03,
8,3,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,1,0.008,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
9,1,73,8.9026,0,10.0,-1,0.001,1.0,1,8.9026,1,0.009000000000000001,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
10,4,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,1,0.010000000000000002,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.03,
11,4,73,8.9026,0,10.0,-1,0.001,1.0,1,8.9026,1,0.011000000000000003,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
12,4,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,1,0.012000000000000004,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
13,4,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,1,0.013000000000000005,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
14,1,19,21.313,0,10.0,-1,0.001,1.0,1,21.313,2,0.014000000000000005,SAT,Returned from portfolio; configuration: 3676923 my performance: ,0.028,
15,5,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,2,0.015000000000000006,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.03,
16,5,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,2,0.016000000000000007,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
17,5,73,8.9026,0,10.0,-1,0.001,1.0,1,8.9026,2,0.017000000000000008,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
18,5,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,2,0.01800000000000001,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
19,5,19,21.313,0,10.0,-1,0.001,1.0,1,21.313,2,0.01900000000000001,SAT,Returned from portfolio; configuration: 3719516 my performance: ,0.029,
20,1,65,25.9194,0,10.0,-1,0.001,1.0,1,25.9194,2,0.02000000000000001,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
21,3,73,8.9026,0,10.0,-1,0.001,1.0,1,8.9026,2,0.02100000000000001,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
22,3,65,25.9194,0,10.0,-1,0.001,1.0,1,25.9194,2,0.022000000000000013,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
23,3,19,21.313,0,10.0,-1,0.001,1.0,1,21.313,2,0.023000000000000013,SAT,Returned from portfolio; configuration: 3737053 my performance: ,0.03,
24,1,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,3,0.024000000000000014,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
25,6,19,21.313,0,10.0,-1,0.001,1.0,1,21.313,3,0.025000000000000015,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
26,6,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,3,0.026000000000000016,SAT,Returned from portfolio; configuration: 3755316 my performance: ,0.029,
27,6,65,25.9194,0,10.0,-1,0.001,1.0,1,25.9194,3,0.027000000000000017,SAT,Returned from portfolio; configuration: 3755316 my performance: ,0.03,
28,6,73,8.9026,0,10.0,-1,0.001,1.0,1,8.9026,3,0.028000000000000018,SAT,Returned from portfolio; configuration: 3755316 my performance: ,0.029,
29,6,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,3,0.02900000000000002,SAT,Returned from portfolio; configuration: 3755316 my performance: ,0.028,
30,6,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,3,0.03000000000000002,SAT,Returned from portfolio; configuration: 3755316 my performance: ,0.028,
31,6,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,3,0.03100000000000002,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
32,1,12,38.1529,0,10.0,-1,0.001,1.0,1,38.1529,3,0.03200000000000002,SAT,Returned from portfolio; configuration: 3676923 my performance: ,0.033,
33,7,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,3,0.03300000000000002,SAT,Returned from portfolio; configuration: 3767163 my performance: ,0.029,
34,7,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,3,0.03400000000000002,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
35,7,73,8.9026,0,10.0,-1,0.001,1.0,1,8.9026,3,0.035000000000000024,SAT,Returned from portfolio; configuration: 3767163 my performance: ,0.029,
36,7,19,21.313,0,10.0,-1,0.001,1.0,1,21.313,3,0.036000000000000025,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
37,7,12,38.1529,0,10.0,-1,0.001,1.0,1,38.1529,3,0.037000000000000026,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
38,7,65,25.9194,0,10.0,-1,0.001,1.0,1,25.9194,3,0.03800000000000003,SAT,Returned from portfolio; configuration: 3767163 my performance: ,0.029,
39,7,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,3,0.03900000000000003,SAT,Returned from portfolio; configuration: 3767163 my performance: ,0.03,
40,7,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,3,0.04000000000000003,SAT,Returned from portfolio; configuration: 3767163 my performance: ,0.028,
41,1,51,29.5181,0,10.0,-1,0.001,1.0,1,29.5181,4,0.04100000000000003,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
42,8,12,38.1529,0,10.0,-1,0.001,1.0,1,38.1529,4,0.04200000000000003,SAT,Returned from portfolio; configuration: 3787036 my performance: ,0.029,
43,8,19,21.313,0,10.0,-1,0.001,1.0,1,21.313,4,0.04300000000000003,SAT,Returned from portfolio; configuration: 3787036 my performance: ,0.028,
44,8,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,4,0.04400000000000003,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
45,8,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,4,0.04500000000000003,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.03,
46,8,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,4,0.046000000000000034,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
47,8,65,25.9194,0,10.0,-1,0.001,1.0,1,25.9194,4,0.047000000000000035,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
48,8,51,29.5181,0,10.0,-1,0.001,1.0,1,29.5181,4,0.048000000000000036,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
49,8,73,8.9026,0,10.0,-1,0.001,1.0,1,8.9026,4,0.04900000000000004,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
50,8,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,4,0.05000000000000004,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
51,1,33,13.4408,0,10.0,-1,0.001,1.0,1,13.4408,4,0.05100000000000004,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
52,9,45,15.0247,0,10.0,-1,0.001,1.0,1,15.0247,4,0.05200000000000004,SAT,Returned from portfolio; configuration: 3797336 my performance: ,0.029,
53,9,19,21.313,0,10.0,-1,0.001,1.0,1,21.313,4,0.05300000000000004,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.028,
54,9,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,4,0.05400000000000004,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
55,9,12,38.1529,0,10.0,-1,0.001,1.0,1,38.1529,4,0.05500000000000004,SAT,Returned from portfolio; configuration: 3676881 my performance: ,0.029,
56,9,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,4,0.05600000000000004,SAT,Returned from portfolio; configuration: 3797336 my performance: ,0.029,
57,9,65,25.9194,0,10.0,-1,0.001,1.0,1,25.9194,4,0.057000000000000044,SAT,Returned from portfolio; configuration: 3797336 my performance: ,0.028,
58,9,51,29.5181,0,10.0,-1,0.001,1.0,1,29.5181,4,0.058000000000000045,SAT,Returned from portfolio; configuration: 3797336 my performance: ,0.028,
59,9,33,13.4408,0,10.0,-1,0.001,1.0,1,13.4408,4,0.059000000000000045,SAT,Returned from portfolio; configuration: 3797336 my performance: ,0.03,
60,9,57,37.8164,0,10.0,-1,0.001,1.0,1,37.8164,4,0.060000000000000046,SAT,Returned from portfolio; configuration: 3797336 my performance: ,0.029,
