instance, x
x1_0.00, 0.00
x1_0.01, 0.01
x1_0.02, 0.02
x1_0.03, 0.03
x1_0.04, 0.04
x1_0.05, 0.05
x1_0.06, 0.06
x1_0.07, 0.07
x1_0.08, 0.08
x1_0.09, 0.09
x1_0.10, 0.10
x1_0.11, 0.11
x1_0.12, 0.12
x1_0.13, 0.13
x1_0.14, 0.14
x1_0.15, 0.15
x1_0.16, 0.16
x1_0.17, 0.17
x1_0.18, 0.18
x1_0.19, 0.19
x1_0.20, 0.20
x1_0.21, 0.21
x1_0.22, 0.22
x1_0.23, 0.23
x1_0.24, 0.24
x1_0.25, 0.25
x1_0.26, 0.26
x1_0.27, 0.27
x1_0.28, 0.28
x1_0.29, 0.29
x1_0.30, 0.30
x1_0.31, 0.31
x1_0.32, 0.32
x1_0.33, 0.33
x1_0.34, 0.34
x1_0.35, 0.35
x1_0.36, 0.36
x1_0.37, 0.37
x1_0.38, 0.38
x1_0.39, 0.39
x1_0.40, 0.40
x1_0.41, 0.41
x1_0.42, 0.42
x1_0.43, 0.43
x1_0.44, 0.44
x1_0.45, 0.45
x1_0.46, 0.46
x1_0.47, 0.47
x1_0.48, 0.48
x1_0.49, 0.49
x1_0.50, 0.50
x1_0.51, 0.51
x1_0.52, 0.52
x1_0.53, 0.53
x1_0.54, 0.54
x1_0.55, 0.55
x1_0.56, 0.56
x1_0.57, 0.57
x1_0.58, 0.58
x1_0.59, 0.59
x1_0.60, 0.60
x1_0.61, 0.61
x1_0.62, 0.62
x1_0.63, 0.63
x1_0.64, 0.64
x1_0.65, 0.65
x1_0.66, 0.66
x1_0.67, 0.67
x1_0.68, 0.68
x1_0.69, 0.69
x1_0.70, 0.70
x1_0.71, 0.71
x1_0.72, 0.72
x1_0.73, 0.73
x1_0.74, 0.74
x1_0.75, 0.75
x1_0.76, 0.76
x1_0.77, 0.77
x1_0.78, 0.78
x1_0.79, 0.79
x1_0.80, 0.80
x1_0.81, 0.81
x1_0.82, 0.82
x1_0.83, 0.83
x1_0.84, 0.84
x1_0.85, 0.85
x1_0.86, 0.86
x1_0.87, 0.87
x1_0.88, 0.88
x1_0.89, 0.89
x1_0.90, 0.90
x1_0.91, 0.91
x1_0.92, 0.92
x1_0.93, 0.93
x1_0.94, 0.94
x1_0.95, 0.95
x1_0.96, 0.96
x1_0.97, 0.97
x1_0.98, 0.98
x1_0.99, 0.99
x1_1.00, 1.00
