INSTANCE_NAME,Runtime,Feature1,Feature2
./instances/test/SWlin2006.11218.cnf,0,935,8348
./instances/test/SWlin2006.12713.cnf,0,1066,7672
./instances/test/SWlin2006.18830.cnf,0,1721,14964
./instances/test/SWlin2006.4166.cnf,0,1759,13119
./instances/test/SWlin2006.4435.cnf,0,1143,7678
./instances/train/SWlin2006.10286.cnf,0,935,8348
./instances/train/SWlin2006.19724.cnf,0,1066,7672
./instances/train/SWlin2006.2705.cnf,0,1721,14964
./instances/train/SWlin2006.4072.cnf,0,1759,13119
./instances/train/SWlin2006.8287.cnf,0,1143,7678
