16:20:27.456 [main] INFO  c.u.c.b.a.l.ComplexLoggingOptions - Logging to: /Users/Chris/Documents/workspace/hydra/src/dist/example_scenarios/saps/log-run264811399.txt
16:20:27.469 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of Algorithm Execution & Abstraction Toolkit is v2.10.00-development-22 (24a421f3b6ad) 
16:20:27.469 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of Java Runtime Environment is Java HotSpot(TM) 64-Bit Server VM (1.7.0_55) 
16:20:27.469 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of MySQL Database Target Algorithm Evaluator is v0.92.00b-development-4 (e19033ddbed8) 
16:20:27.469 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of OS is Mac OS X 10.8.5 (x86_64) 
16:20:27.469 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of Random Forest Library is v1.10.01-development-3 (415191bb90cf) 
16:20:27.469 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of SMAC is v2.10.02-development-37 (5c2edb3dd8f6) 
16:20:27.469 [main] INFO  c.u.c.b.a.m.version.VersionTracker - Version of zilla is ERROR LOADING VERSION INFORMATION 
16:20:27.470 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Parsing (default) options from file: /Users/Chris/.aeatk/ipc-tae.opt 
16:20:27.470 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Parsing (default) options from file: /Users/Chris/.aeatk/mysqldbtae.opt 
16:20:27.470 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Parsing (default) options from file: /Users/Chris/.aeatk/cli-tae.opt 
16:20:27.470 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Logging to null.
16:20:27.470 [main] ERROR c.u.c.b.h.executors.HydraExecutor - Message: Error while reading file: ./zilla-scenario.txt (Option File (JCommander @ParameterFile) does not exist: zilla-scenario.txt)
16:20:27.470 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Don't forget that some options are set by default from files in ~/.aclib/
16:20:27.470 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Exiting Hydra with failure. Log: /Users/Chris/Documents/workspace/hydra/src/dist/example_scenarios/saps/log-run264811399.txt
16:20:27.470 [main] INFO  c.u.c.b.h.executors.HydraExecutor - For a list of available commands use:  --help
16:20:27.470 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Please see above for the available options. Further information is available in the following documents:
16:20:27.471 [main] INFO  c.u.c.b.h.executors.HydraExecutor - - The Quickstart Guide (doc/quickstart.pdf) gives a simple example for getting up and running.
16:20:27.471 [main] INFO  c.u.c.b.h.executors.HydraExecutor - - The Manual (doc/manual.pdf) contains detailed information on file format semantics.
16:20:27.471 [main] INFO  c.u.c.b.h.executors.HydraExecutor - Returning with value: 255
